param,true_param,perturbed_param,finite_diff,finite_diff_time,auto_diff,auto_diff_time
theta,3.141592653589793,3.7761186727511666,-7439760.321001777,0.003887923900038004,1601321.625,4.276866093277931e-05
theta,3.141592653589793,3.9881453812038528,-5800676.484547003,0.003904912155121565,-2082916.75,4.59747388958931e-05
theta,3.141592653589793,3.254757284738374,-12531256.3263525,0.003733847290277481,9777686.0,6.228964775800705e-05
theta,3.141592653589793,2.9545574983845193,11856122.70359681,0.004201998934149742,-9286824.0,4.6005938202142715e-05
theta,3.141592653589793,2.923474177730585,11409729.231770342,0.004214806016534567,-8017392.0,7.725227624177933e-05
theta,3.141592653589793,2.3419874611678853,6326060.720890098,0.004650239832699299,2569004.5,2.697296440601349e-05
theta,3.141592653589793,3.1352195193863586,20388783.44268566,0.0038697789423167706,-16228444.0,3.10470350086689e-05
theta,3.141592653589793,3.240014143555533,-12928505.25269359,0.0034920377656817436,10948888.0,6.481586024165154e-05
theta,3.141592653589793,2.7102696614692423,9148590.666590596,0.004740586970001459,-4991215.5,6.611878052353859e-05
theta,3.141592653589793,2.744138172825814,9463504.456586024,0.004473220091313124,-6221153.0,6.56316988170147e-05
theta,3.141592653589793,2.8201282426971552,10203239.1109554,0.004446692764759064,-7320496.0,6.563263013958931e-05
theta,3.141592653589793,2.8513772296171815,10518749.169885926,0.004414289724081755,-7314683.5,6.922287866473198e-05
theta,3.141592653589793,3.105241336546431,15489696.682195457,0.0035677324049174786,-12690379.0,7.501617074012756e-05
theta,3.141592653589793,3.527974912152361,-9086135.354818571,0.00447804993018508,6551879.5,3.1325966119766235e-05
theta,3.141592653589793,3.4332642803287934,-9873789.515279306,0.003687659278512001,7212308.5,5.270587280392647e-05
theta,3.141592653589793,2.8020456786045673,10010475.72327186,0.004481458105146885,-6549305.0,6.76601193845272e-05
theta,3.141592653589793,2.3858510979150864,6677845.041211759,0.005418526940047741,-557644.5,6.667058914899826e-05
theta,3.141592653589793,3.615307530566515,-8521549.45135566,0.004287614021450281,5549213.0,6.919912993907928e-05
theta,3.141592653589793,2.3908123299929946,6720657.616367926,0.005419979337602854,-553295.0,6.637489423155785e-05
theta,3.141592653589793,3.290275699254516,-11792106.101684414,0.003548168111592531,8679890.0,1.540267840027809e-05
theta,3.141592653589793,3.305200620536164,-11510295.984652678,0.004214312881231308,8727301.0,2.81529501080513e-05
theta,3.141592653589793,4.151316132244463,-4860467.349475654,0.004980185069143772,-1635164.5,6.944779306650162e-05
theta,3.141592653589793,2.978479368014253,12225068.718124228,0.003707313910126686,-9603446.0,7.566390559077263e-05
theta,3.141592653589793,4.085961376829291,-5318946.801593858,0.004626214038580656,-1345082.25,6.563728675246239e-05
theta,3.141592653589793,3.0446362227099604,13526186.330284834,0.003486150875687599,-11798608.0,3.3919233828783035e-05
theta,3.141592653589793,3.9408077566464472,-6163017.291792645,0.004494300112128258,-968834.5,3.368407487869263e-05
theta,3.141592653589793,2.318745492356002,6121837.368250662,0.004801686387509108,8752094.0,6.550038233399391e-05
theta,3.141592653589793,3.8467021147034375,-6849851.35835747,0.004695650190114975,501032.9375,6.562098860740662e-05
theta,3.141592653589793,3.905954306621692,-6402006.799516646,0.004788755904883146,368761.34375,3.3789779990911484e-05
theta,3.141592653589793,3.7677909346185396,-7509194.998547331,0.0044739688746631145,2720588.75,5.52227720618248e-05
theta,3.141592653589793,4.118076299620641,-5078294.470323723,0.004403973929584026,-743835.0,6.522005423903465e-05
theta,3.141592653589793,3.093316818701685,14819341.066978162,0.0034205527044832706,-13564663.0,3.3828895539045334e-05
theta,3.141592653589793,2.9752738719907823,12174885.515227003,0.003494140226393938,-9350114.0,3.368919715285301e-05
theta,3.141592653589793,3.1971844795274764,-14475719.657096334,0.003101164009422064,11596761.0,6.582867354154587e-05
theta,3.141592653589793,3.3823906840902245,-10449180.148072235,0.003697293810546398,7981708.0,4.891818389296532e-05
theta,3.141592653589793,2.8422432046531636,10417650.712496122,0.0036333459429442883,-7050120.0,6.7105982452631e-05
theta,3.141592653589793,2.110061084856145,4950032.703573468,0.004267076961696148,-403497.5,3.3525750041007996e-05
theta,3.141592653589793,3.1886685290581602,-14871201.130830143,0.003282632678747177,12464964.0,6.61797821521759e-05
theta,3.141592653589793,3.3214086771245617,-11246100.793731485,0.003643190022557974,8263951.0,3.3360905945301056e-05
theta,3.141592653589793,2.9590657998937315,11921575.95409728,0.003672635182738304,-9560288.0,6.53970055282116e-05
theta,3.141592653589793,3.4835783314824784,-9440835.41712861,0.0036886539310216904,5782793.0,3.3562071621418e-05
theta,3.141592653589793,3.1985162149517006,-14414327.834889796,0.003350786864757538,11978715.0,3.37967649102211e-05
theta,3.141592653589793,3.6987166940759053,-7979986.819669155,0.0043580187484622,4834811.5,6.512505933642387e-05
theta,3.141592653589793,2.911003833788448,11233532.494036775,0.003705949056893587,-8542625.0,7.122708484530449e-05
theta,3.141592653589793,3.0380805779180493,13355922.398698334,0.0033108112402260303,-11691738.0,3.395602107048035e-05
theta,3.141592653589793,3.8091056695024674,-7182249.462873687,0.004566572140902281,1480838.125,5.298992618918419e-05
theta,3.141592653589793,3.093817824693592,14830559.394349635,0.0030712606385350227,-13791686.0,6.576767191290855e-05
theta,3.141592653589793,4.112031120006598,-5122299.529566461,0.004435083828866482,-2212927.5,6.621470674872398e-05
theta,3.141592653589793,3.916628778551824,-6341460.535456691,0.0051659950986504555,1141638.125,3.3638905733823776e-05
theta,3.141592653589793,2.1157186693551995,4972027.342915437,0.004364934749901295,-800821.5,6.549200043082237e-05
theta,3.141592653589793,3.3089503755016647,-11448017.474860799,0.0032346630468964577,8897523.0,6.520096212625504e-05
theta,3.141592653589793,4.177060723731207,-4702848.055309856,0.004299510270357132,-1607180.5,3.371620550751686e-05
theta,3.141592653589793,2.5506744425674235,7934493.154116904,0.004377057775855064,-4424057.5,6.576022133231163e-05
theta,3.141592653589793,3.2720440237150035,-12123682.552984988,0.0031923362985253334,9660440.0,6.528990343213081e-05
theta,3.141592653589793,3.0889453809432164,14658374.474222248,0.003407107200473547,-12488879.0,6.557721644639969e-05
theta,3.141592653589793,3.88361995543716,-6569548.031270055,0.004594590049237013,1647727.375,6.504915654659271e-05
theta,3.141592653589793,3.1176001542541476,16393003.475701382,0.003403271082788706,-19948688.0,6.530061364173889e-05
theta,3.141592653589793,3.984690018809407,-5832500.139196974,0.004531533923000097,-274914.25,6.608106195926666e-05
theta,3.141592653589793,3.602976269034829,-8587308.082404139,0.004143571946769953,5199901.0,3.3371616154909134e-05
theta,3.141592653589793,3.7673319224306727,-7512887.130622856,0.004452480003237724,2938902.75,6.542867049574852e-05
theta,3.141592653589793,2.1109662540949645,4954405.400931728,0.004724397324025631,-989238.5,6.533507257699966e-05
theta,3.141592653589793,3.747145089860834,-7658160.915934825,0.0046074572019279,4566956.0,6.544496864080429e-05
theta,3.141592653589793,3.9930675485120535,-5784583.349870452,0.004665579181164503,-1927953.0,3.346707671880722e-05
theta,3.141592653589793,2.2744109927376277,5812288.506017261,0.00466802017763257,-4664007.0,3.346707671880722e-05
theta,3.141592653589793,4.0550988916515545,-5550094.557380809,0.004725823178887367,-6570006.5,3.375392407178879e-05
theta,3.141592653589793,3.569476911168179,-8795131.93894633,0.0037665418349206448,5846676.5,6.587384268641472e-05
theta,3.141592653589793,3.3520687577976584,-10822340.18238199,0.0036898329854011536,7542944.5,5.9034209698438644e-05
theta,3.141592653589793,3.8709225808589656,-6667591.467428249,0.005167549010366201,612859.1875,6.57220371067524e-05
theta,3.141592653589793,2.2358529823457105,5488103.4339285875,0.004623072687536478,7135162.5,7.631909102201462e-05
theta,3.141592653589793,3.268764542908915,-12190102.571409233,0.0035297847352921963,8967737.0,3.371294587850571e-05
theta,3.141592653589793,3.3581306698738307,-10748677.25280614,0.0035863188095390797,8226814.0,3.396300598978996e-05
theta,3.141592653589793,2.6376884777919543,8568326.494147139,0.0038883411325514317,-6363239.0,6.541982293128967e-05
theta,3.141592653589793,2.9733453208796092,12144922.104172636,0.003604056779295206,-9409957.0,3.4471042454242706e-05
theta,3.141592653589793,3.2890857631351853,-11818617.360314904,0.0036024381406605244,7722220.0,3.381306305527687e-05
theta,3.141592653589793,3.2476562729283573,-12715232.92727808,0.0032827709801495075,10427193.0,3.392621874809265e-05
theta,3.141592653589793,2.136240958601552,5044832.5946865,0.004168311133980751,-992085.0,3.3573247492313385e-05
theta,3.141592653589793,3.4471107530806187,-9763757.875462882,0.0038587190210819244,7682563.0,6.507989019155502e-05
theta,3.141592653589793,2.746139245964682,9480241.98985797,0.004408626351505518,-6105650.5,6.589898839592934e-05
theta,3.141592653589793,2.1443550231957715,5072886.186616497,0.004513239022344351,-931861.25,3.357185050845146e-05
theta,3.141592653589793,2.4764954189783386,7409942.852760619,0.004218017216771841,-1974409.25,6.511993706226349e-05
theta,3.141592653589793,2.942224033346684,11666892.448589314,0.0036486159078776836,-8676356.0,3.379303961992264e-05
theta,3.141592653589793,3.529320060602953,-9077672.061187405,0.003923329059034586,6396185.5,3.377208486199379e-05
theta,3.141592653589793,3.8596072832604555,-6752917.419278754,0.004692787770181894,1759648.25,3.371993079781532e-05
theta,3.141592653589793,2.965267841669148,12016143.541690208,0.0036327489651739597,-9363695.0,3.398209810256958e-05
theta,3.141592653589793,2.469658143932806,7354166.11140061,0.004436761140823364,-992196.75,4.093628376722336e-05
theta,3.141592653589793,2.4469345812756855,7191841.1361107575,0.004907841794192791,-1480865.0,6.718887016177177e-05
