itr,time,loss,theta,phi,gamma,bx,by,bz
0,0.016697026090696454,-0.2756446301937103,3.737603187561035,0.9612880349159241,1.169425368309021,196.55995178222656,186.7451629638672,182.3197021484375
1,0.030610490823164582,-0.3108094036579132,3.7054443359375,0.9427703619003296,1.1744863986968994,195.31863403320312,186.86802673339844,181.66921997070312
2,0.03021692717447877,-0.32984474301338196,3.6893365383148193,0.9461833834648132,1.170440673828125,194.44610595703125,187.2199249267578,181.1956787109375
3,0.032935744849964976,-0.3446127772331238,3.676968812942505,0.9464069604873657,1.1690654754638672,193.5625,187.5208282470703,180.7806854248047
4,0.030006765155121684,-0.3587775230407715,3.675532817840576,0.9481725692749023,1.159239411354065,192.7216796875,187.7657928466797,180.3499755859375
5,0.0333815838675946,-0.3804723918437958,3.66263484954834,0.9385402798652649,1.1588006019592285,191.79373168945312,187.9719696044922,179.90098571777344
6,0.03008165000937879,-0.40796777606010437,3.649059772491455,0.9236908555030823,1.154436469078064,190.75131225585938,188.13287353515625,179.36471557617188
7,0.0331927970983088,-0.43793201446533203,3.651409387588501,0.9014947414398193,1.1521724462509155,189.81655883789062,188.27426147460938,178.8707733154297
8,0.030059106880798936,-0.4967826008796692,3.6396656036376953,0.8652568459510803,1.1483944654464722,188.58892822265625,188.4410858154297,178.3484649658203
9,0.03185110702179372,-0.5268462896347046,3.6128640174865723,0.8397789597511292,1.1479653120040894,187.57521057128906,188.59756469726562,177.93499755859375
10,0.03347700601443648,-0.5247645974159241,3.56475830078125,0.9016754031181335,1.080694556236267,187.0016326904297,190.59149169921875,177.66482543945312
11,0.03425608994439244,-0.5495523810386658,3.550230026245117,0.8680117130279541,1.0908759832382202,186.2370147705078,190.5830078125,177.3503875732422
12,0.029664904111996293,-0.5521013736724854,3.5448596477508545,0.8637161254882812,1.0934597253799438,185.859619140625,190.7588653564453,177.16131591796875
13,0.033055020961910486,-0.5535147786140442,3.5469653606414795,0.8617306351661682,1.096737265586853,185.63702392578125,190.85873413085938,176.96495056152344
14,0.034990459913387895,-0.5555217862129211,3.551454782485962,0.8535901308059692,1.0992512702941895,185.4048614501953,190.88047790527344,176.8117218017578
15,0.02955853403545916,-0.5571488738059998,3.554292917251587,0.8518575429916382,1.0989397764205933,185.1627197265625,191.0673065185547,176.66195678710938
16,0.035432931035757065,-0.5583665370941162,3.5556414127349854,0.8479657173156738,1.100161075592041,184.8956756591797,191.16500854492188,176.53994750976562
17,0.02995432890020311,-0.5595030188560486,3.552455186843872,0.8420131206512451,1.100651741027832,184.6664581298828,191.35906982421875,176.4020538330078
18,0.03369615599513054,-0.5605023503303528,3.550900459289551,0.8485006093978882,1.1065821647644043,184.54849243164062,191.4696044921875,176.234375
19,0.03402671799995005,-0.561356782913208,3.550302028656006,0.8459070920944214,1.1111618280410767,184.38636779785156,191.5650177001953,176.06907653808594
20,0.029663362074643373,-0.5626606345176697,3.549437999725342,0.8487762808799744,1.111933946609497,184.20416259765625,191.7164764404297,175.90232849121094
21,0.03242427296936512,-0.5638740062713623,3.5467748641967773,0.8487775325775146,1.115144968032837,183.97938537597656,191.85508728027344,175.7255859375
22,0.03509271307848394,-0.5648549795150757,3.5495917797088623,0.855863630771637,1.1127405166625977,183.77101135253906,192.03260803222656,175.52333068847656
23,0.03452852601185441,-0.5661007761955261,3.547330617904663,0.8546629548072815,1.1138215065002441,183.59039306640625,192.1762237548828,175.35806274414062
24,0.03331274795345962,-0.5676587820053101,3.546067476272583,0.8464754819869995,1.1154855489730835,183.3716278076172,192.28126525878906,175.16778564453125
25,0.03486263891682029,-0.5691167116165161,3.540780544281006,0.8494499325752258,1.1160756349563599,183.21412658691406,192.4824676513672,174.9632110595703
