itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.029539750888943672,146.511962890625,-0.5397488474845886,164.87498474121094,208.4281005859375,186.9549560546875,3.199098825454712,0.6318331360816956,1.557793378829956
2,0.03119824081659317,143.96078491210938,-0.5437877774238586,165.03025817871094,208.16281127929688,186.9146270751953,3.1981282234191895,0.6212856769561768,1.5520766973495483
3,0.031168198212981224,141.74029541015625,-0.5479846596717834,165.19203186035156,207.88047790527344,186.83099365234375,3.1960716247558594,0.609725296497345,1.5500824451446533
4,0.030064471065998077,139.36947631835938,-0.5521094799041748,165.3281707763672,207.63548278808594,186.78762817382812,3.189464569091797,0.5969592332839966,1.5464110374450684
5,0.030201073735952377,136.45596313476562,-0.5574934482574463,165.42205810546875,207.35061645507812,186.68673706054688,3.191995859146118,0.5831970572471619,1.5422624349594116
6,0.03059694729745388,134.0179901123047,-0.5623721480369568,165.54869079589844,207.04856872558594,186.63861083984375,3.1916520595550537,0.5696670413017273,1.5395170450210571
7,0.03287433832883835,131.44989013671875,-0.5676159262657166,165.6674346923828,206.78285217285156,186.52496337890625,3.191072702407837,0.5561031699180603,1.5348727703094482
8,0.030680324882268906,128.788330078125,-0.5728333592414856,165.7796173095703,206.4832763671875,186.45089721679688,3.192125082015991,0.542426586151123,1.5308386087417603
9,0.030311428010463715,126.26834106445312,-0.5782247185707092,165.89158630371094,206.1070556640625,186.3163299560547,3.1896941661834717,0.5282859206199646,1.5279821157455444
10,0.03140176646411419,123.32892608642578,-0.5843445062637329,166.0142822265625,205.6907958984375,186.17459106445312,3.1869614124298096,0.5118111968040466,1.5281676054000854
11,0.031326428055763245,120.04232025146484,-0.5915368795394897,166.12451171875,205.31800842285156,186.0412139892578,3.186521291732788,0.4966125190258026,1.5304557085037231
12,0.0298373531550169,117.26274108886719,-0.5982753038406372,166.23646545410156,205.0094757080078,185.84361267089844,3.1830177307128906,0.4802185595035553,1.5286705493927002
13,0.029619669541716576,113.90158081054688,-0.6055079698562622,166.3362274169922,204.68333435058594,185.68605041503906,3.177955389022827,0.46397507190704346,1.5272527933120728
14,0.029915697872638702,110.44654846191406,-0.6129552125930786,166.4365997314453,204.35598754882812,185.5255584716797,3.1753177642822266,0.44753298163414,1.524348258972168
15,0.029972797259688377,107.11292266845703,-0.6204246878623962,166.5277862548828,203.97555541992188,185.3518524169922,3.1711955070495605,0.4302530884742737,1.5279717445373535
