itr,time,loss,theta,phi,gamma,bx,by,bz
0,0.017037429846823215,-0.3639070391654968,3.6787078380584717,-0.38613688945770264,2.0314764976501465,208.08892822265625,204.36180114746094,152.3838653564453
1,0.03014763817191124,-0.4068332016468048,3.6537532806396484,-0.3960610330104828,2.005647897720337,206.73971557617188,204.15081787109375,152.99449157714844
2,0.03107199096120894,-0.4410629868507385,3.6319150924682617,-0.3750450611114502,1.9866313934326172,205.61691284179688,204.34365844726562,153.42518615722656
3,0.02928002504631877,-0.4594402313232422,3.6156885623931885,-0.35803449153900146,1.9985461235046387,204.8470001220703,204.3273468017578,153.82467651367188
4,0.03111270279623568,-0.4747145473957062,3.615025043487549,-0.3432663381099701,1.9794821739196777,204.11888122558594,203.95004272460938,154.20286560058594
5,0.02927962108515203,-0.4867386519908905,3.605319023132324,-0.3354053497314453,1.9677071571350098,203.52833557128906,203.90821838378906,154.58555603027344
6,0.030887190019711852,-0.498908668756485,3.5908195972442627,-0.3232492208480835,1.965061902999878,203.0028533935547,203.67715454101562,154.93084716796875
7,0.029377547092735767,-0.506209671497345,3.581266403198242,-0.32061800360679626,1.9626199007034302,202.52120971679688,203.7335205078125,155.27134704589844
8,0.03078056196682155,-0.5223321914672852,3.56549334526062,-0.3074374496936798,1.9285427331924438,202.1308135986328,203.7952880859375,155.62220764160156
9,0.02937505883164704,-0.5335924625396729,3.5520172119140625,-0.29516103863716125,1.9115486145019531,201.78213500976562,203.6359100341797,155.91165161132812
10,0.031009446131065488,-0.5453433394432068,3.541334390640259,-0.2837882936000824,1.892642617225647,201.46067810058594,203.3194580078125,156.18603515625
11,0.029131711926311255,-0.5569393038749695,3.531892776489258,-0.2732626795768738,1.8753544092178345,201.18515014648438,202.97535705566406,156.48582458496094
12,0.030790883116424084,-0.5673040151596069,3.518503427505493,-0.26634693145751953,1.8641767501831055,200.90103149414062,202.7504119873047,156.80409240722656
13,0.029232871951535344,-0.5843444466590881,3.4993247985839844,-0.2586955726146698,1.839505910873413,200.63848876953125,202.50086975097656,157.11663818359375
14,0.030711001018062234,-0.5981511473655701,3.4855196475982666,-0.2508910000324249,1.8193600177764893,200.4711456298828,202.39202880859375,157.3983612060547
15,0.029007296077907085,-0.6118751764297485,3.471820116043091,-0.2434055656194687,1.8016176223754883,200.23760986328125,202.15541076660156,157.69017028808594
16,0.030676413793116808,-0.625442385673523,3.455317974090576,-0.23932130634784698,1.786765456199646,199.99710083007812,201.82803344726562,157.9798126220703
17,0.028596256161108613,-0.6388766765594482,3.4354021549224854,-0.23302841186523438,1.7753652334213257,199.78387451171875,201.424560546875,158.22543334960938
18,0.03014897694811225,-0.6531250476837158,3.4235355854034424,-0.22497177124023438,1.75504732131958,199.59202575683594,201.0985107421875,158.48452758789062
19,0.033523334888741374,-0.6683536767959595,3.4092934131622314,-0.21440690755844116,1.7350406646728516,199.39813232421875,200.7404327392578,158.70960998535156
20,0.02841413300484419,-0.6793875098228455,3.3997066020965576,-0.20610086619853973,1.721437931060791,199.20094299316406,200.3657989501953,158.96925354003906
21,0.029961494030430913,-0.6935892105102539,3.388366460800171,-0.1933310329914093,1.6960515975952148,199.02548217773438,200.12466430664062,159.17147827148438
22,0.02996701397933066,-0.7033851742744446,3.3799068927764893,-0.18579676747322083,1.682620644569397,198.82354736328125,199.71011352539062,159.4353790283203
23,0.032754287123680115,-0.7116702198982239,3.3686676025390625,-0.17798838019371033,1.6816116571426392,198.6232147216797,199.19288635253906,159.66867065429688
24,0.03266992000862956,-0.7216290831565857,3.3561863899230957,-0.17161273956298828,1.6588733196258545,198.42718505859375,198.74427795410156,159.66912841796875
25,0.0326306140050292,-0.7295265793800354,3.3452632427215576,-0.16127218306064606,1.656887173652649,198.20533752441406,198.26341247558594,159.92025756835938
26,0.03209675895050168,-0.7355003356933594,3.336420774459839,-0.15588924288749695,1.6554518938064575,198.0266876220703,197.81414794921875,160.161376953125
27,0.031609978061169386,-0.7423341870307922,3.32727313041687,-0.14774702489376068,1.65249764919281,197.8424530029297,197.36648559570312,160.3457489013672
28,0.032046891981735826,-0.7498197555541992,3.3205111026763916,-0.1386561244726181,1.6449589729309082,197.61614990234375,196.8659210205078,160.53680419921875
29,0.03203563089482486,-0.7579498291015625,3.3131415843963623,-0.13114887475967407,1.6374658346176147,197.3650665283203,196.32237243652344,160.7327423095703
30,0.03219312499277294,-0.7659944295883179,3.309103012084961,-0.12444956600666046,1.6356401443481445,197.08494567871094,195.72036743164062,160.97071838378906
31,0.032214428996667266,-0.774977445602417,3.301783561706543,-0.11625406891107559,1.6296298503875732,196.80816650390625,195.16001892089844,161.20797729492188
32,0.03185602300800383,-0.7850517630577087,3.29567551612854,-0.1076083555817604,1.6262480020523071,196.4716033935547,194.54360961914062,161.43922424316406
33,0.03269303496927023,-0.7953823804855347,3.2894692420959473,-0.09848790615797043,1.6216493844985962,196.1190948486328,193.9220733642578,161.6520233154297
34,0.027981896186247468,-0.8059839606285095,3.2836179733276367,-0.09168634563684464,1.6162621974945068,195.7330780029297,193.26205444335938,161.88934326171875
35,0.02898463001474738,-0.8173349499702454,3.277946710586548,-0.08373062312602997,1.6110657453536987,195.3157501220703,192.61215209960938,162.13006591796875
36,0.029941163957118988,-0.8299031853675842,3.2711453437805176,-0.07351503521203995,1.605019450187683,194.8910369873047,191.90672302246094,162.30157470703125
37,0.03349332488141954,-0.8415856957435608,3.2637619972229004,-0.06480319052934647,1.6017392873764038,194.4570770263672,191.2482452392578,162.4907684326172
38,0.027996637159958482,-0.853667140007019,3.2550463676452637,-0.05562823265790939,1.5969853401184082,194.00534057617188,190.6070098876953,162.6696319580078
39,0.029470676789060235,-0.8653638362884521,3.2459707260131836,-0.04826736077666283,1.5947926044464111,193.54673767089844,189.93138122558594,162.8397674560547
40,0.03242542711086571,-0.8767581582069397,3.237351417541504,-0.04091769456863403,1.5919837951660156,193.06918334960938,189.27401733398438,162.99984741210938
