itr,time,loss,theta,phi,gamma,bx,by,bz
0,0.01674525812268257,-0.4212040305137634,2.6172730922698975,-0.46382397413253784,2.603776693344116,152.38623046875,168.1839141845703,191.28103637695312
1,0.030554387718439102,-0.4302154779434204,2.626469850540161,-0.47760501503944397,2.5927562713623047,152.29981994628906,168.40390014648438,191.58609008789062
2,0.02981583820655942,-0.4457850456237793,2.644721269607544,-0.5011160969734192,2.576551914215088,152.13465881347656,168.8260498046875,192.18316650390625
3,0.029543058946728706,-0.4660283923149109,2.667618989944458,-0.5347920656204224,2.553907871246338,151.92283630371094,169.401123046875,193.01876831054688
4,0.029549615923315287,-0.4873816668987274,2.697134494781494,-0.5773520469665527,2.527177095413208,151.69467163085938,170.1626434326172,194.0480499267578
5,0.029763305094093084,-0.5041623711585999,2.728192090988159,-0.6241003274917603,2.496422529220581,151.5201873779297,171.03945922851562,195.22605895996094
6,0.029495480004698038,-0.5165637135505676,2.7578444480895996,-0.670492947101593,2.466628313064575,151.41729736328125,171.9686279296875,196.51588439941406
7,0.030268849804997444,-0.5250771641731262,2.7807908058166504,-0.7187204957008362,2.4350521564483643,151.4306182861328,172.8970947265625,197.8733673095703
8,0.02943179616704583,-0.5366988778114319,2.8046693801879883,-0.7613634467124939,2.409485101699829,151.5297088623047,173.8076629638672,199.3207550048828
9,0.029807529877871275,-0.5472040176391602,2.821094512939453,-0.812714159488678,2.3839449882507324,151.74752807617188,174.6884307861328,200.8956756591797
10,0.029252429958432913,-0.5463008880615234,2.834907293319702,-0.8593874573707581,2.3622395992279053,152.0558624267578,175.5628204345703,202.4918670654297
11,0.029286442324519157,-0.5408044457435608,2.845142364501953,-0.8886343240737915,2.3435680866241455,152.31005859375,176.4821319580078,204.03311157226562
12,0.029636362101882696,-0.5397393703460693,2.8550076484680176,-0.8989395499229431,2.33213472366333,152.4575653076172,177.41787719726562,205.5099334716797
13,0.02893005684018135,-0.5434554219245911,2.8632147312164307,-0.8921219110488892,2.3248682022094727,152.5360870361328,178.412109375,206.90386962890625
14,0.028810754884034395,-0.5512091517448425,2.873973846435547,-0.8720143437385559,2.325864315032959,152.564208984375,179.45773315429688,208.1959686279297
15,0.029369717929512262,-0.557358980178833,2.8820626735687256,-0.842406690120697,2.3285913467407227,152.57476806640625,180.4685821533203,209.3816375732422
16,0.02928561018779874,-0.5616663098335266,2.8866193294525146,-0.8058530688285828,2.329571485519409,152.6550750732422,181.4243927001953,210.46214294433594
17,0.0292683900333941,-0.5628343224525452,2.8859219551086426,-0.7700182795524597,2.3275952339172363,152.8318328857422,182.27481079101562,211.4593048095703
18,0.029235483147203922,-0.5641993284225464,2.884274482727051,-0.7361563444137573,2.3290953636169434,153.11814880371094,183.0152130126953,212.3887481689453
19,0.029443150851875544,-0.5652325749397278,2.877878427505493,-0.7044689059257507,2.3274874687194824,153.48394775390625,183.6763916015625,213.24114990234375
20,0.029408768750727177,-0.5656384825706482,2.866424560546875,-0.6805908679962158,2.3215572834014893,153.92791748046875,184.2622833251953,214.03460693359375
21,0.029614406172186136,-0.5663487315177917,2.8557097911834717,-0.6628987193107605,2.32028865814209,154.4509735107422,184.77674865722656,214.79116821289062
22,0.029660237953066826,-0.5679729580879211,2.843343496322632,-0.651641845703125,2.3164660930633545,155.0400848388672,185.293701171875,215.50747680664062
23,0.029236203990876675,-0.5699657201766968,2.826620101928711,-0.643581748008728,2.3103444576263428,155.68365478515625,185.7761688232422,216.21514892578125
24,0.029829435981810093,-0.573066234588623,2.8075151443481445,-0.6450478434562683,2.299051523208618,156.36671447753906,186.2356414794922,216.83445739746094
25,0.029700730927288532,-0.5765373110771179,2.7876672744750977,-0.6498698592185974,2.2864906787872314,157.10556030273438,186.6425323486328,217.42481994628906
26,0.029999499209225178,-0.5800679326057434,2.7658519744873047,-0.6584463715553284,2.268369436264038,157.874267578125,187.001708984375,217.92481994628906
27,0.029489448759704828,-0.5826274156570435,2.7445666790008545,-0.66823410987854,2.2505693435668945,158.67825317382812,187.36053466796875,218.32728576660156
28,0.029593103099614382,-0.5842415690422058,2.723790407180786,-0.6754319071769714,2.2329909801483154,159.51890563964844,187.7055206298828,218.63424682617188
29,0.030009805224835873,-0.5848156809806824,2.704274892807007,-0.6788550019264221,2.2162129878997803,160.33740234375,188.06185913085938,218.83316040039062
30,0.029434358701109886,-0.5850922465324402,2.687323808670044,-0.6772469282150269,2.200303554534912,161.13026428222656,188.44313049316406,218.91854858398438
31,0.029858758207410574,-0.5881912708282471,2.67110013961792,-0.6599716544151306,2.1841306686401367,161.9267578125,188.88067626953125,218.9034881591797
32,0.029695070814341307,-0.5920076966285706,2.6573007106781006,-0.635002076625824,2.1734619140625,162.70501708984375,189.35281372070312,218.78887939453125
33,0.02970829699188471,-0.5939237475395203,2.6444623470306396,-0.6088472008705139,2.1652209758758545,163.49960327148438,189.86331176757812,218.63870239257812
34,0.02943296916782856,-0.5990955233573914,2.633676290512085,-0.5965026021003723,2.161855936050415,164.31689453125,190.37921142578125,218.6621551513672
35,0.030032325070351362,-0.6117705702781677,2.624969959259033,-0.5595576167106628,2.1676342487335205,165.15582275390625,190.89920043945312,218.5886688232422
36,0.0302647789940238,-0.6217243671417236,2.617419719696045,-0.5092097520828247,2.1714580059051514,166.0113525390625,191.3767547607422,218.36863708496094
37,0.030698169022798538,-0.6261230707168579,2.6115286350250244,-0.45871689915657043,2.1652798652648926,166.8788299560547,191.85105895996094,218.04837036132812
38,0.03054596297442913,-0.6315064430236816,2.6056032180786133,-0.4154477119445801,2.1450819969177246,167.75875854492188,192.32102966308594,217.64329528808594
39,0.03040093183517456,-0.6395347714424133,2.6010138988494873,-0.3785933256149292,2.1135408878326416,168.65892028808594,192.79415893554688,217.13607788085938
40,0.030643397942185402,-0.6512838006019592,2.597273826599121,-0.3526941239833832,2.0696072578430176,169.56790161132812,193.24981689453125,216.51882934570312
41,0.030777358915656805,-0.6665681004524231,2.593405246734619,-0.3356700837612152,2.013582229614258,170.4600372314453,193.72653198242188,215.7922821044922
42,0.031486333347857,-0.6842718124389648,2.5917530059814453,-0.32654064893722534,1.9488698244094849,171.33128356933594,194.22857666015625,214.97067260742188
43,0.03165115509182215,-0.6982195973396301,2.5916898250579834,-0.3228994309902191,1.8793259859085083,172.21400451660156,194.75888061523438,214.0462188720703
44,0.02999022789299488,-0.7039877772331238,2.5969483852386475,-0.31803110241889954,1.812032699584961,173.1371612548828,195.2057342529297,213.0050048828125
45,0.030272187665104866,-0.708016574382782,2.6104495525360107,-0.3048771917819977,1.7552523612976074,174.1131591796875,195.6167755126953,211.8645782470703
46,0.030293305404484272,-0.717361569404602,2.6311655044555664,-0.2812017798423767,1.7121042013168335,175.14195251464844,196.00474548339844,210.615478515625
47,0.030332972761243582,-0.7336288094520569,2.6601274013519287,-0.2477203905582428,1.680579423904419,176.24520874023438,196.3748321533203,209.2680206298828
48,0.03008056804537773,-0.7556634545326233,2.6966750621795654,-0.2054554969072342,1.6578857898712158,177.43336486816406,196.72616577148438,207.8374786376953
49,0.029826166108250618,-0.77927166223526,2.738619089126587,-0.15726825594902039,1.641095519065857,178.7098846435547,196.97857666015625,206.30393981933594
50,0.03007117286324501,-0.799591600894928,2.786651372909546,-0.10782422125339508,1.6272550821304321,180.05494689941406,197.05877685546875,204.6609344482422
51,0.029674218967556953,-0.8154537677764893,2.8352019786834717,-0.06055709347128868,1.6139070987701416,181.4296417236328,196.9040069580078,202.9004669189453
52,0.029747337102890015,-0.8255057334899902,2.8814804553985596,-0.016137205064296722,1.60416841506958,182.7989501953125,196.4845428466797,201.0144500732422
53,0.02989672077819705,-0.8283675312995911,2.922494888305664,0.01927212066948414,1.5935454368591309,184.0828094482422,195.75399780273438,198.98117065429688
54,0.029232056345790625,-0.8329388499259949,2.9513790607452393,0.035665057599544525,1.5865663290023804,185.165283203125,194.62298583984375,196.8787384033203
55,0.029333742801100016,-0.8471788763999939,2.9708240032196045,0.0341055691242218,1.5858471393585205,186.00259399414062,193.13497924804688,194.679931640625
56,0.029140044935047626,-0.8690552711486816,2.981790781021118,0.01793767139315605,1.5862396955490112,186.60275268554688,191.33619689941406,192.40109252929688
57,0.028413858264684677,-0.894770085811615,2.9860291481018066,-0.012249093502759933,1.5939936637878418,186.9407958984375,189.28451538085938,190.0430908203125
58,0.029560567811131477,-0.913455069065094,2.9848551750183105,-0.05021335929632187,1.5977864265441895,187.02386474609375,187.06874084472656,187.62350463867188
59,0.032029875088483095,-0.9215679168701172,2.9844517707824707,-0.08595480769872665,1.5954769849777222,186.8932342529297,184.9257049560547,185.1884765625
60,0.030012075789272785,-0.9240090847015381,2.989590883255005,-0.111429363489151,1.5872588157653809,186.59774780273438,182.97801208496094,182.6751708984375
61,0.028982494957745075,-0.9282944798469543,3.0034475326538086,-0.11964481323957443,1.5800824165344238,186.1736297607422,181.26205444335938,180.2274627685547
62,0.02931151119992137,-0.9394582509994507,3.026042938232422,-0.10772902518510818,1.5750210285186768,185.67218017578125,179.85714721679688,177.84942626953125
63,0.02866506716236472,-0.9556832909584045,3.0559520721435547,-0.0797448456287384,1.5694257020950317,185.08377075195312,178.78665161132812,175.5671844482422
64,0.02871510060504079,-0.9720357060432434,3.0939934253692627,-0.040942370891571045,1.5624676942825317,184.40162658691406,178.07553100585938,173.3690948486328
65,0.02826652303338051,-0.980208158493042,3.133938789367676,-0.0018288212595507503,1.55540132522583,183.59933471679688,177.72842407226562,171.23236083984375
66,0.02844242239370942,-0.9821699857711792,3.1717350482940674,0.027045637369155884,1.552152156829834,182.6429901123047,177.6824951171875,169.1387939453125
67,0.02864179667085409,-0.9838087558746338,3.203737735748291,0.04167775809764862,1.5566604137420654,181.55355834960938,177.88954162597656,167.12106323242188
68,0.029003857169300318,-0.9844310283660889,3.2269694805145264,0.04125151410698891,1.5649996995925903,180.42247009277344,178.21133422851562,165.20664978027344
69,0.028754291124641895,-0.983995258808136,3.2397263050079346,0.029583007097244263,1.57099187374115,179.34523010253906,178.58169555664062,163.45091247558594
70,0.028574601747095585,-0.982157289981842,3.240567922592163,0.013655361719429493,1.5749181509017944,178.37673950195312,178.8642578125,161.90869140625
71,0.028667218051850796,-0.9796167016029358,3.2314023971557617,-0.0004423792124725878,1.576094627380371,177.5624542236328,179.0652313232422,160.62440490722656
72,0.028924403246492147,-0.9783201813697815,3.212876796722412,-0.0074747903272509575,1.5749136209487915,176.934326171875,179.1526641845703,159.631591796875
73,0.029397629667073488,-0.9783501625061035,3.1899616718292236,-0.0057888939045369625,1.574601650238037,176.51451110839844,179.15797424316406,158.95108032226562
74,0.028601191006600857,-0.9795610308647156,3.164637804031372,0.003923153504729271,1.5731267929077148,176.3177032470703,179.1075897216797,158.57493591308594
75,0.029071437194943428,-0.9801247119903564,3.1412148475646973,0.018660102039575577,1.5725244283676147,176.34727478027344,179.0731658935547,158.46041870117188
76,0.028517853934317827,-0.9796767234802246,3.123094320297241,0.03432835265994072,1.569509506225586,176.5672607421875,179.08514404296875,158.5861053466797
77,0.029018711764365435,-0.9797406196594238,3.112839937210083,0.0467449426651001,1.5640406608581543,176.93955993652344,179.1630096435547,158.90322875976562
78,0.02872839942574501,-0.9807214736938477,3.110330820083618,0.05382735654711723,1.5582035779953003,177.42494201660156,179.3044891357422,159.36355590820312
79,0.02858726680278778,-0.9832577705383301,3.1149425506591797,0.05298143997788429,1.5543040037155151,177.98367309570312,179.47203063964844,159.94842529296875
80,0.028154027182608843,-0.9871621131896973,3.123325824737549,0.04400280863046646,1.5544267892837524,178.58094787597656,179.63270568847656,160.6170654296875
81,0.028543888591229916,-0.9916886687278748,3.134378671646118,0.02905142307281494,1.5592424869537354,179.18695068359375,179.7725830078125,161.34765625
82,0.02924233442172408,-0.9950708746910095,3.146388292312622,0.01108639221638441,1.5667423009872437,179.77090454101562,179.88104248046875,162.1510467529297
83,0.028571030590683222,-0.9956728219985962,3.1565308570861816,-0.005454573780298233,1.5751467943191528,180.3054656982422,179.93763732910156,163.02703857421875
84,0.029064156115055084,-0.9950604438781738,3.162513256072998,-0.015675313770771027,1.5800303220748901,180.75909423828125,179.9407196044922,163.9584197998047
85,0.028612598311156034,-0.9957015514373779,3.163614273071289,-0.017525482922792435,1.5783162117004395,181.1062774658203,179.9104766845703,164.90574645996094
86,0.02851950889453292,-0.9972204566001892,3.1601572036743164,-0.011893810704350471,1.5724033117294312,181.324951171875,179.8724365234375,165.83541870117188
87,0.02841519983485341,-0.9979375004768372,3.15278959274292,-0.0022126254625618458,1.5680134296417236,181.39720153808594,179.83294677734375,166.7024688720703
88,0.028179449029266834,-0.9974997639656067,3.14304256439209,0.006958282086998224,1.566914439201355,181.31553649902344,179.79710388183594,167.4557647705078
89,0.028374349232763052,-0.99675053358078,3.133828639984131,0.010664708912372589,1.5686427354812622,181.10186767578125,179.80992126464844,168.06373596191406
90,0.029071472585201263,-0.9967352151870728,3.1269426345825195,0.007152242586016655,1.5707348585128784,180.79225158691406,179.89889526367188,168.51991271972656
91,0.02974450122565031,-0.9971418976783752,3.1236953735351562,-0.0014805340906605124,1.5698429346084595,180.43238830566406,180.07672119140625,168.8223114013672
92,0.02810503402724862,-0.9969784021377563,3.124354839324951,-0.010467219166457653,1.5694245100021362,180.07208251953125,180.3026123046875,168.98695373535156
93,0.028009751811623573,-0.9967519044876099,3.1281869411468506,-0.01494142971932888,1.5718107223510742,179.75547790527344,180.52308654785156,169.03697204589844
94,0.027983176056295633,-0.9967734217643738,3.133578062057495,-0.013652677647769451,1.575805425643921,179.50863647460938,180.7096710205078,168.99517822265625
95,0.028605910949409008,-0.9968189001083374,3.1389997005462646,-0.008740074001252651,1.5770647525787354,179.34747314453125,180.8232421875,168.863525390625
96,0.02915844228118658,-0.9971253871917725,3.1433122158050537,-0.0029718070290982723,1.573547601699829,179.27322387695312,180.8311004638672,168.6522216796875
97,0.028581379912793636,-0.9973894357681274,3.1453490257263184,0.001659257453866303,1.569177508354187,179.2706756591797,180.7149658203125,168.37100219726562
98,0.028221084736287594,-0.9979464411735535,3.144902229309082,0.003772660857066512,1.5674034357070923,179.3302459716797,180.49203491210938,168.03082275390625
99,0.02827458642423153,-0.9988804459571838,3.142699718475342,0.003044190350919962,1.5694538354873657,179.4420928955078,180.1959228515625,167.6446533203125
100,0.027922707609832287,-0.9994409680366516,3.1402056217193604,-0.00016436869918834418,1.5710508823394775,179.59446716308594,179.87229919433594,167.23196411132812
