itr,time,loss,theta,phi,gamma,bx,by,bz
0,0.00884261354804039,-0.4030025899410248,3.333237886428833,-0.19118532538414001,2.3056910037994385,191.35845947265625,166.74378967285156,170.4915771484375
1,0.028600307181477547,-0.41239604353904724,3.3378782272338867,-0.19239412248134613,2.288695812225342,190.88662719726562,167.0619659423828,170.62142944335938
2,0.02918347157537937,-0.4309038817882538,3.3469467163085938,-0.19716045260429382,2.257423162460327,190.0096893310547,167.63352966308594,170.9052734375
3,0.02792729064822197,-0.4591444134712219,3.356943368911743,-0.20286427438259125,2.2135326862335205,188.75906372070312,168.4569091796875,171.2656707763672
4,0.02953888662159443,-0.5021339058876038,3.369929552078247,-0.21263879537582397,2.1539647579193115,187.1954345703125,169.5562286376953,171.71800231933594
5,0.03012114018201828,-0.5631341934204102,3.3892900943756104,-0.22748707234859467,2.072495698928833,185.32827758789062,170.8086395263672,172.25982666015625
6,0.02772616595029831,-0.6374158263206482,3.41001033782959,-0.24026212096214294,1.9675453901290894,183.33883666992188,172.2155303955078,172.85824584960938
7,0.029209455475211143,-0.7208792567253113,3.4315896034240723,-0.24255946278572083,1.8395130634307861,181.38758850097656,173.74569702148438,173.51901245117188
8,0.029495293274521828,-0.8153514862060547,3.4426188468933105,-0.22554416954517365,1.6932339668273926,179.6341094970703,175.2955322265625,174.21766662597656
9,0.028642237186431885,-0.8850724101066589,3.4380574226379395,-0.18421517312526703,1.5340070724487305,178.09190368652344,176.79173278808594,174.90464782714844
10,0.02646615169942379,-0.8524875044822693,3.4201321601867676,-0.12405285239219666,1.392632246017456,176.71075439453125,178.0918731689453,175.50111389160156
11,0.02788430266082287,-0.7917462587356567,3.394973039627075,-0.061915911734104156,1.2995063066482544,175.4766387939453,179.08900451660156,176.02223205566406
12,0.028334561735391617,-0.7543315887451172,3.368985652923584,-0.0027399708051234484,1.2509485483169556,174.39479064941406,179.83663940429688,176.43650817871094
13,0.02757110819220543,-0.7500620484352112,3.345254898071289,0.0509464256465435,1.2483199834823608,173.47329711914062,180.30645751953125,176.72398376464844
14,0.02738451398909092,-0.7763729095458984,3.3236985206604004,0.09582984447479248,1.2907297611236572,172.71762084960938,180.55300903320312,176.82933044433594
15,0.026584617793560028,-0.8182609677314758,3.3015236854553223,0.1327436864376068,1.3603463172912598,172.16090393066406,180.57135009765625,176.71156311035156
