itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.027608884032815695,192.00625610351562,0.4170645475387573,167.369140625,166.68508911132812,193.994873046875,2.8951573371887207,-0.10705770552158356,2.525179624557495
2,0.02696510701207444,190.48150634765625,0.4191516041755676,167.30328369140625,167.0001220703125,194.0785369873047,2.9027960300445557,-0.10925497114658356,2.504631757736206
3,0.02793711400590837,186.84786987304688,0.4235217571258545,167.20811462402344,167.45225524902344,194.1851348876953,2.912459135055542,-0.11229391396045685,2.483290433883667
4,0.02823501400416717,182.80252075195312,0.4286405146121979,167.08352661132812,168.02621459960938,194.3113250732422,2.923409938812256,-0.11791753768920898,2.4575116634368896
5,0.02875494200270623,177.7585906982422,0.4354870021343231,166.91595458984375,168.73428344726562,194.41920471191406,2.93538498878479,-0.1285545527935028,2.4252865314483643
6,0.02838064299430698,171.21456909179688,0.44489744305610657,166.714599609375,169.59317016601562,194.49317932128906,2.947420358657837,-0.14216174185276031,2.3866326808929443
7,0.02862159098731354,163.50070190429688,0.45734789967536926,166.46438598632812,170.62994384765625,194.5592803955078,2.9601781368255615,-0.1661405712366104,2.331155300140381
8,0.027827365032862872,152.63543701171875,0.478623628616333,166.16677856445312,171.84869384765625,194.5870819091797,2.974642515182495,-0.20096462965011597,2.260709047317505
9,0.028289038978982717,139.14321899414062,0.5113744139671326,165.83383178710938,173.1855926513672,194.57720947265625,2.98813533782959,-0.24366241693496704,2.183107852935791
10,0.028888834989629686,125.35572814941406,0.551889955997467,165.48788452148438,174.6035614013672,194.55638122558594,2.99959659576416,-0.2928592562675476,2.0930871963500977
11,0.028348325984552503,112.37567138671875,0.6017091870307922,165.18746948242188,176.0924072265625,194.5318145751953,3.0092172622680664,-0.3429741859436035,1.9908223152160645
12,0.027850317012052983,102.94593811035156,0.653348445892334,165.0176239013672,177.68057250976562,194.50039672851562,3.0172526836395264,-0.3854893147945404,1.8771642446517944
13,0.02846597897587344,99.61602783203125,0.6916294693946838,165.02001953125,179.24105834960938,194.45835876464844,3.0220746994018555,-0.40676647424697876,1.7602596282958984
14,0.02850799000589177,101.72145080566406,0.7043867111206055,165.15216064453125,180.91409301757812,194.36898803710938,3.0287744998931885,-0.3952643871307373,1.6507107019424438
15,0.0292627009912394,103.32548522949219,0.7167382836341858,165.44168090820312,182.61236572265625,194.26528930664062,3.042357921600342,-0.34756022691726685,1.556813359260559
16,0.028860758000519127,99.70498657226562,0.7481836676597595,165.9271697998047,184.24893188476562,194.07876586914062,3.0666379928588867,-0.2659173011779785,1.4836748838424683
17,0.028390015999320894,89.2437744140625,0.7884429693222046,166.58348083496094,185.7753448486328,193.77574157714844,3.099004030227661,-0.1655549257993698,1.4345344305038452
18,0.028097819013055414,75.15400695800781,0.814205527305603,167.38479614257812,187.1004180908203,193.28565979003906,3.135603666305542,-0.06282947957515717,1.4205620288848877
19,0.027854108018800616,61.223655700683594,0.8193165063858032,168.25814819335938,188.01271057128906,192.5633544921875,3.1668012142181396,0.025806190446019173,1.4414546489715576
20,0.02832921000663191,52.477577209472656,0.8123874664306641,169.1886749267578,188.45375061035156,191.58474731445312,3.1864588260650635,0.09254369884729385,1.4869426488876343
21,0.027390849019866437,51.17607116699219,0.8135946393013,170.19073486328125,188.47140502929688,190.36605834960938,3.197554349899292,0.1343407928943634,1.5524981021881104
22,0.028159965004306287,54.50277328491211,0.8241860866546631,171.2147216796875,188.14779663085938,188.90916442871094,3.2013862133026123,0.14993885159492493,1.6212375164031982
23,0.02740381401963532,58.686058044433594,0.8308743834495544,172.18972778320312,187.65289306640625,187.234375,3.200737953186035,0.1377633661031723,1.6770961284637451
24,0.028233575052581728,59.89912796020508,0.8333332538604736,173.09132385253906,187.0594024658203,185.37623596191406,3.1961421966552734,0.10287320613861084,1.7112970352172852
25,0.027437691984232515,56.42094421386719,0.8433775901794434,173.89735412597656,186.4925994873047,183.37770080566406,3.1886861324310303,0.04972590133547783,1.7164407968521118
26,0.027579276997130364,47.2291374206543,0.8688353300094604,174.64788818359375,185.9358673095703,181.2990264892578,3.1804611682891846,-0.01329699344933033,1.6910685300827026
27,0.02775611699325964,33.10472869873047,0.905595600605011,175.42127990722656,185.3282470703125,179.19351196289062,3.167318105697632,-0.07462827861309052,1.6412372589111328
28,0.0280851720017381,21.948509216308594,0.9367235898971558,176.2842254638672,184.56008911132812,177.1251220703125,3.1512603759765625,-0.1238880380988121,1.5780189037322998
29,0.02748748497106135,31.123849868774414,0.9454699158668518,177.2134246826172,183.6517791748047,175.17906188964844,3.1366937160491943,-0.14796575903892517,1.52204167842865
30,0.02826769498642534,39.4375,0.9270544648170471,178.15567016601562,182.6663818359375,173.42466735839844,3.127746820449829,-0.14263266324996948,1.4895358085632324
31,0.02832826500525698,40.58165740966797,0.9170820116996765,179.09063720703125,181.67831420898438,171.86996459960938,3.127335786819458,-0.11042891442775726,1.487640380859375
32,0.028090841020457447,33.806053161621094,0.9327316880226135,179.99208068847656,180.68467712402344,170.489990234375,3.132154941558838,-0.05888178572058678,1.5188008546829224
33,0.027920998982153833,20.144981384277344,0.9700906276702881,180.82342529296875,179.69300842285156,169.20867919921875,3.139190435409546,0.0004163534031249583,1.5752075910568237
34,0.02754601399647072,4.0775346755981445,0.9960653781890869,181.48521423339844,178.90628051757812,167.92918395996094,3.1461501121520996,0.05022789165377617,1.6207704544067383
35,0.02752042096108198,16.673622131347656,0.9679898023605347,181.96194458007812,178.37086486816406,166.65577697753906,3.151859760284424,0.08014368265867233,1.6340693235397339
36,0.028086850012186915,23.022188186645508,0.951225757598877,182.24661254882812,178.05780029296875,165.38775634765625,3.154466390609741,0.08944400399923325,1.6196086406707764
37,0.02823848300613463,23.264768600463867,0.9553371071815491,182.3402099609375,177.98008728027344,164.15509033203125,3.1553940773010254,0.07735153287649155,1.582854151725769
38,0.02796689805109054,18.40932273864746,0.9734745025634766,182.24652099609375,178.10401916503906,162.99693298339844,3.1553683280944824,0.04682270810008049,1.5384266376495361
39,0.028351938002742827,13.44577693939209,0.9831362962722778,181.94915771484375,178.3780517578125,161.983154296875,3.1563596725463867,0.010698270052671432,1.50967276096344
40,0.028114875021856278,15.952794075012207,0.9728964567184448,181.55593872070312,178.65887451171875,161.1787872314453,3.1578962802886963,-0.01628735475242138,1.511871099472046
41,0.02846715197665617,17.732633590698242,0.968794047832489,181.1256561279297,178.90614318847656,160.6309814453125,3.158980369567871,-0.028779372572898865,1.5427261590957642
42,0.027988595014903694,14.305274963378906,0.9786507487297058,180.6785430908203,179.14358520507812,160.3541717529297,3.1589572429656982,-0.02496730349957943,1.5874547958374023
43,0.028221022977959365,7.23918342590332,0.9839600324630737,180.2245330810547,179.42311096191406,160.33238220214844,3.1586687564849854,-0.0092761917039752,1.6181479692459106
