itr,time,loss,theta,phi,gamma,bx,by,bz
0,0.015612746123224497,-0.705782949924469,3.024012804031372,0.1419091522693634,1.1856220960617065,163.91720581054688,165.64649963378906,149.33624267578125
1,0.02966458396986127,-0.7346827983856201,3.0325701236724854,0.15994097292423248,1.2193330526351929,163.93711853027344,165.8948516845703,149.50355529785156
2,0.03277785191312432,-0.7757500410079956,3.0460667610168457,0.18692271411418915,1.2711870670318604,163.9841766357422,166.30050659179688,149.75755310058594
3,0.028738476801663637,-0.819823145866394,3.0633490085601807,0.21802322566509247,1.3383673429489136,164.07630920410156,166.85293579101562,150.08999633789062
4,0.030913031194359064,-0.8480624556541443,3.0848536491394043,0.246089905500412,1.4152003526687622,164.20773315429688,167.60166931152344,150.5010223388672
5,0.028515012003481388,-0.8606523275375366,3.1103968620300293,0.26283180713653564,1.4904963970184326,164.40744018554688,168.50839233398438,150.9674835205078
6,0.030953173991292715,-0.8633373975753784,3.1377367973327637,0.2675381600856781,1.5594979524612427,164.6622772216797,169.55821228027344,151.4553680419922
7,0.028408246114850044,-0.8617488145828247,3.1669421195983887,0.26013100147247314,1.6153514385223389,164.9649200439453,170.78994750976562,151.94500732421875
8,0.031556523870676756,-0.8637728095054626,3.1975014209747314,0.24231599271297455,1.653370976448059,165.31863403320312,172.1625213623047,152.37911987304688
9,0.033229378052055836,-0.8742116689682007,3.229246139526367,0.21528536081314087,1.6714763641357422,165.7122344970703,173.63380432128906,152.77276611328125
10,0.028820309787988663,-0.8900636434555054,3.2614970207214355,0.1873585283756256,1.6715394258499146,166.15428161621094,175.18399047851562,153.2069854736328
11,0.03062503319233656,-0.9086325764656067,3.2927873134613037,0.1524588167667389,1.656231164932251,166.64144897460938,176.765869140625,153.6100311279297
12,0.029128611087799072,-0.9187135696411133,3.318572998046875,0.11445725709199905,1.6312360763549805,167.19436645507812,178.2683868408203,154.01986694335938
13,0.030591618735343218,-0.9192942380905151,3.335493564605713,0.0775030106306076,1.6039170026779175,167.84445190429688,179.6036834716797,154.4827423095703
14,0.029305631294846535,-0.9157751798629761,3.3415238857269287,0.04591216519474983,1.5790082216262817,168.5924530029297,180.70953369140625,155.0028533935547
15,0.030676433816552162,-0.9135979413986206,3.3365628719329834,0.021313583478331566,1.5585159063339233,169.44122314453125,181.53294372558594,155.61355590820312
16,0.02909483900293708,-0.9166892170906067,3.321713447570801,0.004474512301385403,1.5457181930541992,170.3689727783203,182.04946899414062,156.32615661621094
17,0.030808546114712954,-0.9255124926567078,3.296725273132324,-0.005391555838286877,1.5388356447219849,171.36122131347656,182.28343200683594,157.1304931640625
18,0.02888629911467433,-0.9393861293792725,3.263948917388916,-0.008410976268351078,1.5408166646957397,172.4034881591797,182.25247192382812,158.0208740234375
19,0.03070399258285761,-0.9562131762504578,3.226640462875366,-0.004858255386352539,1.55062997341156,173.49020385742188,182.0163116455078,158.97955322265625
20,0.028618581127375364,-0.9728260636329651,3.1862902641296387,0.0037203191313892603,1.5662782192230225,174.6125030517578,181.59576416015625,159.98922729492188
21,0.031220319215208292,-0.9835017323493958,3.1462135314941406,0.01597404293715954,1.583024263381958,175.7744598388672,181.080810546875,161.03976440429688
22,0.028449641074985266,-0.9835075736045837,3.110506772994995,0.028945088386535645,1.5956095457077026,176.9738311767578,180.53956604003906,162.10740661621094
23,0.03066043695434928,-0.9806665778160095,3.083176374435425,0.03806409612298012,1.59811270236969,178.17112731933594,180.0904083251953,163.1440887451172
24,0.030491122044622898,-0.981619119644165,3.0649328231811523,0.04128270596265793,1.5875521898269653,179.3496856689453,179.76498413085938,164.1168670654297
25,0.02910699089989066,-0.9836975336074829,3.055790424346924,0.0381305105984211,1.5684163570404053,180.47079467773438,179.56385803222656,165.02001953125
26,0.0304308058694005,-0.9823737740516663,3.0555593967437744,0.030435780063271523,1.5496809482574463,181.4874267578125,179.5069122314453,165.84153747558594
27,0.028987651225179434,-0.9811965823173523,3.062511682510376,0.020160235464572906,1.539493203163147,182.3475341796875,179.5791473388672,166.5810089111328
28,0.030530262738466263,-0.9827344417572021,3.0750114917755127,0.008451264351606369,1.5401179790496826,183.03567504882812,179.7591094970703,167.2366180419922
29,0.02937135985121131,-0.9871640205383301,3.091327428817749,-0.003578096628189087,1.5533183813095093,183.5342254638672,179.97703552246094,167.8174591064453
30,0.03048168122768402,-0.9891806244850159,3.1098504066467285,-0.014615660533308983,1.5726511478424072,183.82435607910156,180.2166290283203,168.31065368652344
31,0.028952231165021658,-0.9875237345695496,3.1286003589630127,-0.023995736613869667,1.5881707668304443,183.89105224609375,180.46412658691406,168.71958923339844
32,0.03060099296271801,-0.9860721230506897,3.146145820617676,-0.03122781589627266,1.5952218770980835,183.75088500976562,180.71319580078125,169.0440673828125
33,0.028349043801426888,-0.9861805438995361,3.1607773303985596,-0.035667963325977325,1.5927470922470093,183.43984985351562,180.9519500732422,169.29283142089844
