itr,time,loss,theta,phi,gamma,bx,by,bz
0,0.0073741041123867035,-0.5101091861724854,3.1840033531188965,0.909430742263794,1.343300223350525,164.87437438964844,203.36744689941406,183.0848388671875
1,0.02883128449320793,-0.5143575668334961,3.1850481033325195,0.8507130146026611,1.3376566171646118,164.6736602783203,203.21311950683594,183.03079223632812
2,0.027682973071932793,-0.5393604040145874,3.185896635055542,0.7794062495231628,1.3311262130737305,164.55458068847656,202.9692840576172,182.92990112304688
3,0.028041256591677666,-0.5587148666381836,3.185335636138916,0.7035727500915527,1.32388174533844,164.6329803466797,202.63775634765625,182.78750610351562
4,0.027600737288594246,-0.577293872833252,3.1852548122406006,0.6232436299324036,1.3193621635437012,164.8794403076172,202.13331604003906,182.60696411132812
5,0.028401819989085197,-0.5954546928405762,3.1853253841400146,0.5441364049911499,1.3215781450271606,165.29391479492188,201.4668731689453,182.3413543701172
6,0.02710844948887825,-0.6183242797851562,3.1820380687713623,0.4655921757221222,1.3318357467651367,165.86306762695312,200.61666870117188,181.9536895751953
7,0.02821437455713749,-0.6455538272857666,3.1788253784179688,0.38736194372177124,1.3454430103302002,166.55813598632812,199.5900421142578,181.40440368652344
8,0.027187399566173553,-0.6795691847801208,3.1718199253082275,0.30887332558631897,1.3704239130020142,167.33241271972656,198.36703491210938,180.72915649414062
9,0.027002789080142975,-0.7288897037506104,3.1600306034088135,0.227494478225708,1.4088388681411743,168.13893127441406,196.9092254638672,179.9507598876953
10,0.02751733921468258,-0.7995760440826416,3.141876459121704,0.14284776151180267,1.4651952981948853,168.92538452148438,195.18150329589844,179.04122924804688
11,0.02735019475221634,-0.8779208064079285,3.118187189102173,0.0539705716073513,1.537085771560669,169.70623779296875,193.16946411132812,178.03224182128906
12,0.025796109810471535,-0.9170602560043335,3.088624954223633,-0.03615647926926613,1.6168465614318848,170.48440551757812,190.89736938476562,176.95950317382812
13,0.02688712812960148,-0.8948426246643066,3.06133770942688,-0.11283567547798157,1.6837774515151978,171.3428955078125,188.53701782226562,175.91778564453125
14,0.028418608009815216,-0.8629138469696045,3.038980007171631,-0.16895195841789246,1.7250664234161377,172.3139190673828,186.23171997070312,174.95652770996094
15,0.02765846438705921,-0.8441107273101807,3.0205118656158447,-0.20343121886253357,1.740804672241211,173.38818359375,184.0583953857422,174.15533447265625
16,0.02800915576517582,-0.8434053659439087,3.006784439086914,-0.21550050377845764,1.7321834564208984,174.55203247070312,182.0675048828125,173.53030395507812
17,0.0285453200340271,-0.8594538569450378,2.999692678451538,-0.20390728116035461,1.7035127878189087,175.75936889648438,180.3387451171875,173.0770721435547
18,0.027936214581131935,-0.8899526000022888,3.001255512237549,-0.16909077763557434,1.663205623626709,176.97462463378906,178.98370361328125,172.7490997314453
19,0.027842072769999504,-0.9273409843444824,3.0125932693481445,-0.11571270227432251,1.613805890083313,178.16954040527344,177.99664306640625,172.50360107421875
20,0.02757447212934494,-0.9573742151260376,3.0351510047912598,-0.05021841824054718,1.5632284879684448,179.33349609375,177.39524841308594,172.27865600585938
21,0.02690182812511921,-0.9639779329299927,3.068816661834717,0.01794521138072014,1.5206708908081055,180.46990966796875,177.19760131835938,172.01502990722656
22,0.02746988646686077,-0.9478722214698792,3.1061534881591797,0.07681542634963989,1.4961414337158203,181.46478271484375,177.28097534179688,171.65008544921875
23,0.027060627937316895,-0.9338082075119019,3.141144275665283,0.11849197745323181,1.4901500940322876,182.22909545898438,177.53097534179688,171.16627502441406
24,0.026628641411662102,-0.9280810356140137,3.1738088130950928,0.13994190096855164,1.5003153085708618,182.75559997558594,177.89352416992188,170.5514373779297
