itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.027952735021244735,44.565452575683594,0.6659502983093262,185.26170349121094,157.81265258789062,190.74029541015625,3.1667239665985107,-0.02666282095015049,1.5074591636657715
2,0.026913388050161302,47.979713439941406,0.6945915818214417,184.59957885742188,159.6844482421875,190.28988647460938,3.1805968284606934,-0.042586490511894226,1.4743062257766724
3,0.027935218007769436,54.09238815307617,0.7365458607673645,183.7538604736328,162.02359008789062,189.6726531982422,3.1991167068481445,-0.060694172978401184,1.4391871690750122
4,0.02897949400357902,60.614837646484375,0.7715431451797485,182.81178283691406,164.7508544921875,188.8889923095703,3.220573663711548,-0.07839955389499664,1.4154080152511597
5,0.02840205596294254,65.13993835449219,0.7982062697410583,181.83584594726562,167.7122039794922,187.945556640625,3.2417094707489014,-0.09395112097263336,1.4111887216567993
6,0.028132381034083664,66.11504364013672,0.8232905268669128,180.86181640625,170.7373809814453,186.8893280029297,3.2620131969451904,-0.10782256722450256,1.4263204336166382
7,0.029065187030937523,63.77558898925781,0.8516958951950073,179.92039489746094,173.74786376953125,185.73658752441406,3.2792091369628906,-0.11802808940410614,1.4582922458648682
8,0.02864438499091193,58.36701583862305,0.8825802803039551,179.02786254882812,176.66098022460938,184.49044799804688,3.2920024394989014,-0.12421770393848419,1.5050499439239502
9,0.028483448026236147,50.26765441894531,0.9094011783599854,178.2073974609375,179.35951232910156,183.13975524902344,3.297661304473877,-0.12315087020397186,1.5582901239395142
10,0.028402185009326786,40.631446838378906,0.9236553311347961,177.47984313964844,181.81297302246094,181.74154663085938,3.295783758163452,-0.1126784160733223,1.6060874462127686
11,0.028500592045020312,31.7161865234375,0.9244906306266785,176.88612365722656,183.89556884765625,180.3238525390625,3.2833142280578613,-0.09607364982366562,1.6436961889266968
12,0.028657109010964632,24.831104278564453,0.9169679284095764,176.43988037109375,185.5815887451172,178.91603088378906,3.2614166736602783,-0.0757434293627739,1.6623347997665405
13,0.029058598971460015,21.783546447753906,0.9137580990791321,176.1119842529297,186.87002563476562,177.52659606933594,3.231179714202881,-0.053004637360572815,1.6584107875823975
14,0.02848981600254774,20.6005859375,0.9209397435188293,175.8846893310547,187.732177734375,176.17787170410156,3.1945416927337646,-0.029794814065098763,1.639270305633545
15,0.02762220602016896,19.140470504760742,0.9329174757003784,175.73983764648438,188.15524291992188,174.8614959716797,3.154540777206421,-0.008019471541047096,1.6112147569656372
16,0.02774245000910014,17.564546585083008,0.943723201751709,175.66622924804688,188.11778259277344,173.5614471435547,3.111572027206421,0.00900870282202959,1.5823882818222046
17,0.028286002983804792,17.665027618408203,0.9512353539466858,175.66481018066406,187.67002868652344,172.28256225585938,3.0683908462524414,0.019908983260393143,1.5603491067886353
18,0.028553261945489794,20.28084945678711,0.9545450210571289,175.77090454101562,186.9496612548828,171.0337371826172,3.0301477909088135,0.024788379669189453,1.5481524467468262
19,0.02844054898014292,23.740978240966797,0.9555270075798035,176.0105438232422,186.04776000976562,169.8400115966797,3.000274419784546,0.026351459324359894,1.5470690727233887
20,0.028940811986103654,27.052886962890625,0.9565567970275879,176.3917236328125,185.05738830566406,168.7203369140625,2.9806406497955322,0.026304375380277634,1.5539116859436035
21,0.027838358946610242,29.533357620239258,0.9579715728759766,176.90774536132812,184.0421905517578,167.69253540039062,2.973090171813965,0.02576504647731781,1.56338632106781
22,0.02904449903871864,30.37712287902832,0.9597983360290527,177.53977966308594,183.07139587402344,166.7433624267578,2.9787843227386475,0.026388196274638176,1.5719858407974243
23,0.028902699996251613,29.02322006225586,0.963181734085083,178.25967407226562,182.1977996826172,165.89537048339844,2.9956440925598145,0.025474749505519867,1.57729971408844
24,0.028391909028869122,25.795061111450195,0.9689585566520691,179.0394287109375,181.4422149658203,165.1683349609375,3.0225517749786377,0.023378388956189156,1.5765258073806763
