itr,time,geodesic,loss,theta,phi,gamma,bx,by,bz
1,0.019188600010238588,195.64901733398438,15280319488.0,156.07064819335938,160.8443145751953,169.48826599121094,2.5233495235443115,-0.8548992872238159,2.633131742477417
2,0.01864936004858464,185.86196899414062,11726409728.0,151.22747802734375,165.77166748046875,174.2594451904297,2.573207139968872,-0.8049368262290955,2.681866407394409
3,0.019532940990757197,180.346923828125,10627079168.0,147.3069610595703,169.913818359375,179.10423278808594,2.616220712661743,-0.7557854056358337,2.7012088298797607
4,0.020173931028693914,179.6175537109375,10059019264.0,144.60159301757812,173.38916015625,183.9875946044922,2.6539807319641113,-0.7107560634613037,2.7220613956451416
5,0.018820887024048716,180.8348388671875,8474444288.0,142.66615295410156,175.48031616210938,188.86795043945312,2.6835930347442627,-0.6723043918609619,2.7360002994537354
6,0.01898210000945255,183.84991455078125,9388622848.0,141.52374267578125,176.55056762695312,193.58677673339844,2.7091612815856934,-0.6367025375366211,2.749953508377075
7,0.018893108004704118,187.60284423828125,9408763904.0,141.4268035888672,177.06639099121094,197.5541534423828,2.7317631244659424,-0.6053595542907715,2.761385679244995
8,0.019287973002064973,190.84298706054688,9643923456.0,141.8058319091797,177.09234619140625,200.39324951171875,2.7543013095855713,-0.5790197849273682,2.7776834964752197
9,0.0185051949811168,193.3957061767578,9292176384.0,142.8256072998047,176.69239807128906,202.4983673095703,2.774914026260376,-0.5548874735832214,2.793445587158203
10,0.018663542985450476,195.527587890625,9883616256.0,144.37869262695312,176.2110137939453,203.79287719726562,2.7937402725219727,-0.5352005362510681,2.8153257369995117
11,0.018906144017819315,197.25157165527344,9001643008.0,146.30450439453125,175.56927490234375,204.43978881835938,2.8114283084869385,-0.516766369342804,2.838177442550659
12,0.018760003033094108,198.76455688476562,9667619840.0,148.55169677734375,174.61497497558594,204.37986755371094,2.827833890914917,-0.4980885982513428,2.8590333461761475
13,0.019823410955723375,200.00013732910156,8799449088.0,151.11724853515625,174.2012176513672,203.87530517578125,2.8450520038604736,-0.4855993390083313,2.884683132171631
14,0.018876980000641197,200.51467895507812,8710034432.0,153.97152709960938,174.03175354003906,202.88784790039062,2.8625645637512207,-0.4748690128326416,2.9118053913116455
15,0.018801740021444857,200.68319702148438,7853575680.0,157.1739044189453,173.77638244628906,201.5257110595703,2.8809242248535156,-0.4677204191684723,2.9426281452178955
16,0.020072112965863198,200.50726318359375,7994799616.0,160.55458068847656,173.849365234375,200.0041961669922,2.9004578590393066,-0.46190276741981506,2.973362684249878
17,0.018993831996340305,200.20120239257812,7516046336.0,163.94142150878906,174.52767944335938,198.1855926513672,2.9207265377044678,-0.4600449204444885,3.004732608795166
18,0.019921027007512748,199.39422607421875,6879774208.0,167.1848602294922,176.07733154296875,196.2393035888672,2.9438188076019287,-0.46273571252822876,3.0391414165496826
19,0.01860183896496892,198.3621826171875,6409521664.0,170.2933349609375,177.40000915527344,194.4510498046875,2.9659788608551025,-0.4677116274833679,3.070117712020874
