itr,time,loss,geodesic,theta,phi,gamma,bx,by,bz
0,0.0071894507855176926,6730732032.0,204.587890625,3.622011661529541,0.9201457500457764,1.4743316173553467,171.15711975097656,179.63540649414062,173.2325897216797
1,0.029225459322333336,6168500224.0,197.74168395996094,3.572011709213257,0.8701457381248474,1.4243316650390625,166.15711975097656,184.63540649414062,168.2325897216797
2,0.01972249709069729,5900579840.0,191.48898315429688,3.5219807624816895,0.8205987215042114,1.3949977159500122,162.21075439453125,188.82249450683594,163.28892517089844
3,0.018977699801325798,5669102592.0,191.48667907714844,3.513463020324707,0.7832548022270203,1.3602187633514404,161.17498779296875,193.3167724609375,159.05409240722656
4,0.01712106727063656,5430002688.0,184.9453125,3.491520643234253,0.7484597563743591,1.3554893732070923,162.5216827392578,193.70013427734375,154.71148681640625
5,0.019074728712439537,4989593600.0,177.9391326904297,3.477935791015625,0.7136992812156677,1.3637784719467163,164.81045532226562,192.26904296875,150.52442932128906
6,0.018528683111071587,4368553984.0,171.8776397705078,3.469371795654297,0.6740174889564514,1.357379674911499,167.82127380371094,189.9072723388672,146.6242218017578
7,0.018354853615164757,3976857344.0,165.256103515625,3.465637445449829,0.6331213712692261,1.3667985200881958,170.7417755126953,187.1068878173828,144.09681701660156
8,0.016893770545721054,3566694656.0,156.40040588378906,3.4585165977478027,0.5915085673332214,1.3873016834259033,173.75369262695312,184.66519165039062,143.6358642578125
9,0.01667935587465763,3130898432.0,146.79559326171875,3.4512014389038086,0.5480438470840454,1.4140632152557373,176.7549591064453,181.74533081054688,143.97471618652344
10,0.023269888013601303,2703309824.0,136.1876220703125,3.442652702331543,0.5023974180221558,1.4480361938476562,179.5320281982422,179.16729736328125,145.38107299804688
11,0.02301907353103161,2434332672.0,127.0057373046875,3.433260917663574,0.4554094076156616,1.473555326461792,182.07057189941406,177.05126953125,146.1936492919922
12,0.018420234322547913,2210100480.0,117.85382843017578,3.4254961013793945,0.4074386656284332,1.5005812644958496,183.66429138183594,176.0474090576172,147.30355834960938
13,0.01773575320839882,1950520576.0,108.70282745361328,3.4184083938598633,0.35886749625205994,1.5295684337615967,184.14041137695312,175.34954833984375,148.4209747314453
