itr,time,loss,theta,phi,gamma,bx,by,bz
0,0.016970560885965824,-0.34382399916648865,2.8367254734039307,0.40865811705589294,0.6814770698547363,203.59506225585938,155.38198852539062,190.14920043945312
1,0.030268974136561155,-0.36655619740486145,2.850013017654419,0.38702392578125,0.7038071155548096,202.9641876220703,155.55511474609375,190.3585968017578
2,0.030520349740982056,-0.39564934372901917,2.876429557800293,0.35180628299713135,0.7359520792961121,201.88394165039062,155.92335510253906,190.68594360351562
3,0.03047226509079337,-0.426851361989975,2.9119322299957275,0.3154647648334503,0.7814937233924866,200.52857971191406,156.52076721191406,191.067138671875
4,0.02982101496309042,-0.45720383524894714,2.950923442840576,0.27993515133857727,0.8348894715309143,198.99032592773438,157.3361053466797,191.4431915283203
5,0.030235860962420702,-0.4883423149585724,2.9975240230560303,0.2428162693977356,0.8917677402496338,197.2978973388672,158.41661071777344,191.78829956054688
6,0.029672138392925262,-0.5209316611289978,3.0386221408843994,0.20516523718833923,0.9539278745651245,195.49559020996094,159.78079223632812,192.03936767578125
7,0.029792877845466137,-0.5559836030006409,3.0708110332489014,0.16939176619052887,1.0217227935791016,193.62489318847656,161.44886779785156,192.2035675048828
8,0.02975059114396572,-0.5976441502571106,3.102180242538452,0.13522425293922424,1.0968694686889648,191.68421936035156,163.25035095214844,192.2623291015625
9,0.029323479626327753,-0.6531356573104858,3.1312527656555176,0.10255806148052216,1.1872645616531372,189.68148803710938,165.14064025878906,192.17367553710938
10,0.030767930205911398,-0.7242826223373413,3.1573963165283203,0.06819576770067215,1.2927780151367188,187.60330200195312,167.1265869140625,191.90939331054688
11,0.030207717791199684,-0.8016366958618164,3.179919719696045,0.03208501636981964,1.4107447862625122,185.4739990234375,169.1842498779297,191.4511260986328
12,0.0298699582926929,-0.8586336970329285,3.1976771354675293,-0.003710514400154352,1.5377992391586304,183.32688903808594,171.4203338623047,190.6815185546875
13,0.029208446852862835,-0.8655582070350647,3.210951805114746,-0.04892337694764137,1.6557446718215942,181.2156524658203,173.962890625,189.58013916015625
14,0.029987658839672804,-0.8440970778465271,3.223538875579834,-0.09713121503591537,1.733425498008728,179.17074584960938,176.79710388183594,188.20864868164062
15,0.0297637190669775,-0.8348491787910461,3.2340915203094482,-0.14154547452926636,1.7613948583602905,177.31307983398438,179.7403564453125,186.69891357421875
16,0.030910317320376635,-0.8430272936820984,3.2377989292144775,-0.17538833618164062,1.7460261583328247,175.71119689941406,182.61117553710938,185.13604736328125
17,0.02989417500793934,-0.8606099486351013,3.232083320617676,-0.19386957585811615,1.7024637460708618,174.40740966796875,185.18003845214844,183.6025390625
18,0.030247723683714867,-0.8830534219741821,3.2185187339782715,-0.1923506110906601,1.6383686065673828,173.43252563476562,187.3538055419922,182.12400817871094
19,0.029447165317833424,-0.8939851522445679,3.1985039710998535,-0.16972985863685608,1.566605806350708,172.75778198242188,189.00872802734375,180.74435424804688
20,0.02995648281648755,-0.8896449208259583,3.177630662918091,-0.12800036370754242,1.5067445039749146,172.3086395263672,190.06019592285156,179.4390869140625
21,0.029154505115002394,-0.8828173875808716,3.1526458263397217,-0.07602406293153763,1.4714159965515137,171.99876403808594,190.48236083984375,178.19325256347656
22,0.029258016031235456,-0.8861927390098572,3.123100519180298,-0.025345614179968834,1.468218445777893,171.78985595703125,190.37442016601562,176.95281982421875
23,0.029288845602422953,-0.9049923419952393,3.0904171466827393,0.017338380217552185,1.4953832626342773,171.718994140625,189.7877960205078,175.69515991210938
24,0.029229257255792618,-0.9288454651832581,3.059450387954712,0.04749465733766556,1.5461530685424805,171.80429077148438,188.78665161132812,174.4044189453125
25,0.029647970106452703,-0.9355652332305908,3.030118465423584,0.06483510881662369,1.6062612533569336,172.0742950439453,187.50845336914062,173.08045959472656
26,0.02954451274126768,-0.9223166704177856,3.011627435684204,0.0687619298696518,1.653435230255127,172.513916015625,186.19142150878906,171.72926330566406
