itr,time,loss,theta,phi,gamma,bx,by,bz
0,0.017081290017813444,-0.6049978137016296,2.632707118988037,-0.31579744815826416,1.2774157524108887,201.42124938964844,190.7462158203125,182.3498992919922
1,0.031002911273390055,-0.6213881969451904,2.6274633407592773,-0.2972942888736725,1.2938958406448364,200.9541473388672,190.5351104736328,182.66529846191406
2,0.03207078296691179,-0.6521750688552856,2.6209983825683594,-0.2656172215938568,1.3259096145629883,200.24400329589844,190.25244140625,183.12887573242188
3,0.030910873785614967,-0.6950827240943909,2.6136956214904785,-0.22358544170856476,1.3701883554458618,199.31991577148438,189.8444366455078,183.7202911376953
4,0.032213835045695305,-0.750442385673523,2.6075661182403564,-0.17000995576381683,1.4242560863494873,198.23187255859375,189.34652709960938,184.37799072265625
5,0.030783887952566147,-0.8185438513755798,2.6013543605804443,-0.10418093204498291,1.4903980493545532,197.0365753173828,188.81443786621094,185.06288146972656
6,0.032466263975948095,-0.8782033920288086,2.5966076850891113,-0.027020856738090515,1.5664533376693726,195.82986450195312,188.26686096191406,185.71763610839844
7,0.030751125421375036,-0.8746335506439209,2.594447612762451,0.05316450819373131,1.6389782428741455,194.70286560058594,187.75772094726562,186.24105834960938
8,0.032488679978996515,-0.8332086801528931,2.5936789512634277,0.11939800530672073,1.6915045976638794,193.69918823242188,187.323486328125,186.64474487304688
9,0.03053685463964939,-0.7952306866645813,2.59293532371521,0.16472646594047546,1.7219866514205933,192.90390014648438,186.98287963867188,186.93028259277344
10,0.03378373896703124,-0.7798289060592651,2.5956766605377197,0.191293403506279,1.7282798290252686,192.3490447998047,186.754638671875,187.08535766601562
11,0.030536677222698927,-0.7845796942710876,2.6016974449157715,0.2013929784297943,1.7128173112869263,191.99212646484375,186.63809204101562,187.1302490234375
12,0.03189516579732299,-0.8061583638191223,2.6075873374938965,0.19593192636966705,1.6764553785324097,191.76663208007812,186.6020965576172,187.0606231689453
13,0.030723202973604202,-0.8377468585968018,2.613002061843872,0.17674821615219116,1.6236488819122314,191.62892150878906,186.6393585205078,186.86314392089844
14,0.031722565181553364,-0.8654072284698486,2.6185412406921387,0.14535954594612122,1.5660545825958252,191.51498413085938,186.6973876953125,186.5794219970703
15,0.03030005283653736,-0.8759990930557251,2.625575542449951,0.10763589292764664,1.514233112335205,191.38388061523438,186.75942993164062,186.1558380126953
16,0.031523069366812706,-0.8672118782997131,2.6336090564727783,0.06871765851974487,1.473870873451233,191.20687866210938,186.8519287109375,185.67630004882812
17,0.03053302690386772,-0.8560783863067627,2.643941640853882,0.035858478397130966,1.453784465789795,190.98988342285156,186.91116333007812,185.15237426757812
18,0.031584064941853285,-0.8539004921913147,2.6583876609802246,0.013255899772047997,1.4542042016983032,190.7673797607422,186.950927734375,184.5924835205078
19,0.030326844193041325,-0.8666307330131531,2.6768016815185547,0.0032907684799283743,1.4754256010055542,190.56216430664062,186.9567413330078,184.03652954101562
20,0.03174425568431616,-0.8867673873901367,2.7001171112060547,0.0016591219464316964,1.5122636556625366,190.4031982421875,186.9658966064453,183.4761199951172
21,0.030010459013283253,-0.9005278944969177,2.726576328277588,0.006353611126542091,1.557940125465393,190.2715606689453,187.0100555419922,182.9100341796875
22,0.030920560006052256,-0.9025221467018127,2.7560720443725586,0.013566821813583374,1.6006406545639038,190.163330078125,187.067626953125,182.3338165283203
23,0.029718987178057432,-0.8983933329582214,2.7875843048095703,0.02055729739367962,1.6308575868606567,190.0345916748047,187.1427764892578,181.7141571044922
24,0.030875338707119226,-0.8965494632720947,2.818479537963867,0.023270580917596817,1.6457595825195312,189.85025024414062,187.21791076660156,181.08493041992188
25,0.02969330595806241,-0.9023084044456482,2.8490021228790283,0.019863232970237732,1.6428204774856567,189.58834838867188,187.26016235351562,180.427490234375
26,0.030857599340379238,-0.9145948886871338,2.878519058227539,0.011807620525360107,1.6248035430908203,189.2316131591797,187.22215270996094,179.73680114746094
27,0.029386387672275305,-0.927530825138092,2.9084038734436035,0.00138959102332592,1.5952664613723755,188.7646026611328,187.11656188964844,178.99972534179688
28,0.03034592606127262,-0.9338241219520569,2.9377667903900146,-0.010921048000454903,1.5624139308929443,188.16241455078125,186.91615295410156,178.24185180664062
29,0.028968967963010073,-0.9351251721382141,2.965653419494629,-0.021490462124347687,1.538590669631958,187.42091369628906,186.57510375976562,177.46063232421875
30,0.03033994324505329,-0.9351326823234558,2.990131378173828,-0.03081810288131237,1.520902156829834,186.5572967529297,185.99667358398438,176.66970825195312
31,0.03307570004835725,-0.9427574276924133,3.0142250061035156,-0.03557634726166725,1.5216164588928223,185.5951385498047,185.2587127685547,175.8824462890625
32,0.029114306904375553,-0.9583956599235535,3.036865234375,-0.0356629453599453,1.5390923023223877,184.56509399414062,184.36569213867188,175.11154174804688
33,0.03033563494682312,-0.9735132455825806,3.0583794116973877,-0.0315265879034996,1.5671076774597168,183.50343322753906,183.3709716796875,174.3318634033203
34,0.032862267922610044,-0.9801503419876099,3.0816831588745117,-0.024326087906956673,1.5959469079971313,182.4400177001953,182.3755645751953,173.5198516845703
35,0.028691300190985203,-0.9789595603942871,3.1056673526763916,-0.01775764860212803,1.6142364740371704,181.39474487304688,181.44454956054688,172.67193603515625
36,0.03012960311025381,-0.9810348153114319,3.1292166709899902,-0.01480906829237938,1.6150264739990234,180.4027557373047,180.63381958007812,171.80828857421875
37,0.03262108564376831,-0.9889447093009949,3.1508049964904785,-0.015131746418774128,1.5977097749710083,179.49365234375,179.9619598388672,170.93218994140625
38,0.0324799083173275,-0.9930698275566101,3.168980360031128,-0.016410786658525467,1.569541335105896,178.7020721435547,179.40576171875,170.0467987060547
39,0.03182475781068206,-0.9882978200912476,3.182655096054077,-0.015277971513569355,1.544438362121582,178.0485076904297,178.94593811035156,169.15353393554688
40,0.032431960105895996,-0.9835517406463623,3.192326068878174,-0.011631735600531101,1.5326801538467407,177.52879333496094,178.5707244873047,168.29293823242188
41,0.03140890086069703,-0.9844940900802612,3.1980745792388916,-0.005340171046555042,1.5364243984222412,177.1338348388672,178.2642822265625,167.47975158691406
42,0.03216560324653983,-0.9882930517196655,3.1996853351593018,0.002301773289218545,1.552930474281311,176.86941528320312,178.0240936279297,166.7267608642578
43,0.03226265870034695,-0.9889636635780334,3.1970317363739014,0.00975119974464178,1.5738741159439087,176.74874877929688,177.86151123046875,166.02725219726562
44,0.03210423327982426,-0.9865784049034119,3.1910271644592285,0.015182786621153355,1.5896471738815308,176.76548767089844,177.80563354492188,165.3753204345703
45,0.031560942996293306,-0.9858949780464172,3.1830976009368896,0.017682967707514763,1.594295620918274,176.88861083984375,177.8768768310547,164.774169921875
46,0.03208275092765689,-0.9895408153533936,3.175008535385132,0.017086928710341454,1.5855252742767334,177.0986785888672,178.09039306640625,164.22921752929688
47,0.031958278734236956,-0.9931163787841797,3.1667282581329346,0.013944048434495926,1.5690706968307495,177.3952178955078,178.40296936035156,163.75930786132812
48,0.03189937910065055,-0.992621660232544,3.1579489707946777,0.010299524292349815,1.5528723001480103,177.7763214111328,178.7534637451172,163.38197326660156
49,0.03197495732456446,-0.9913313388824463,3.149092674255371,0.009022403508424759,1.5455583333969116,178.22265625,179.09786987304688,163.10671997070312
50,0.03231476666405797,-0.9930611848831177,3.141374349594116,0.010967406444251537,1.5498653650283813,178.7056121826172,179.42320251464844,162.92813110351562
51,0.031845519319176674,-0.9956700801849365,3.135357141494751,0.014883982948958874,1.5634599924087524,179.20106506347656,179.72120666503906,162.8422393798828
52,0.03225936088711023,-0.9951404929161072,3.1314566135406494,0.016808368265628815,1.5781828165054321,179.69273376464844,179.9926300048828,162.85084533691406
53,0.03167136711999774,-0.9936637282371521,3.1296560764312744,0.015878241509199142,1.5865213871002197,180.14785766601562,180.2393798828125,162.93978881835938
54,0.03212523367255926,-0.994203507900238,3.129152536392212,0.012109801173210144,1.5850168466567993,180.54489135742188,180.4497833251953,163.09510803222656
55,0.03171767108142376,-0.9959269165992737,3.1302361488342285,0.00666620209813118,1.5749988555908203,180.86468505859375,180.5958709716797,163.3157501220703
56,0.031929092947393656,-0.9955037832260132,3.132650136947632,0.0007340437732636929,1.562644362449646,181.09793090820312,180.66224670410156,163.6085662841797
57,0.03207238810136914,-0.9946073889732361,3.1359610557556152,-0.0026942440308630466,1.557460904121399,181.2423858642578,180.6433868408203,163.95556640625
58,0.03201120300218463,-0.9960941076278687,3.1393344402313232,-0.002331587951630354,1.561820387840271,181.3031768798828,180.54476928710938,164.33920288085938
59,0.03205224499106407,-0.997755765914917,3.1423451900482178,0.00071501056663692,1.5719611644744873,181.2783660888672,180.3841552734375,164.7479248046875
60,0.032107627019286156,-0.997345507144928,3.144307851791382,0.0035197464749217033,1.5806474685668945,181.16705322265625,180.1893768310547,165.1645050048828
61,0.03185533080250025,-0.9976249933242798,3.145383596420288,0.0038999461103230715,1.5812550783157349,180.98373413085938,179.99998474121094,165.565673828125
62,0.03232647804543376,-0.9992451071739197,3.145589828491211,0.0018716276390478015,1.573793649673462,180.7467041015625,179.83563232421875,165.93917846679688
