itr,time,loss,theta,phi,gamma,bx,by,bz
0,0.019597768783569336,-0.5584123134613037,2.599682569503784,0.3806918263435364,1.8318424224853516,161.05996704101562,165.7606964111328,158.18411254882812
1,0.03564739227294922,-0.5710845589637756,2.610762357711792,0.3769059479236603,1.8114930391311646,161.24916076660156,166.0999755859375,158.10623168945312
2,0.034691810607910156,-0.5888089537620544,2.6239795684814453,0.37108683586120605,1.783945083618164,161.51156616210938,166.4998779296875,157.97657775878906
3,0.035945892333984375,-0.603853166103363,2.635812520980835,0.36611223220825195,1.7634879350662231,161.7686309814453,166.89288330078125,157.8506317138672
4,0.03484988212585449,-0.6204193234443665,2.647706985473633,0.36246439814567566,1.7413116693496704,162.01971435546875,167.2687225341797,157.71487426757812
5,0.035694122314453125,-0.6366396546363831,2.6565966606140137,0.35744789242744446,1.7221758365631104,162.29165649414062,167.8449249267578,157.59713745117188
6,0.035660505294799805,-0.6559966802597046,2.672396183013916,0.35214105248451233,1.69896399974823,162.5673370361328,168.28733825683594,157.478515625
7,0.03522062301635742,-0.6758326888084412,2.6876232624053955,0.346421480178833,1.6762453317642212,162.8435516357422,168.7280731201172,157.39901733398438
8,0.03488516807556152,-0.6963221430778503,2.704200029373169,0.34166020154953003,1.6532812118530273,163.14181518554688,169.174560546875,157.32850646972656
9,0.035271644592285156,-0.7175816893577576,2.7213404178619385,0.33497127890586853,1.6302448511123657,163.44027709960938,169.66244506835938,157.2786407470703
10,0.03461909294128418,-0.7368539571762085,2.740689754486084,0.32776516675949097,1.6115800142288208,163.7223663330078,170.1343994140625,157.22532653808594
11,0.03494381904602051,-0.7558523416519165,2.7584035396575928,0.31811457872390747,1.5916317701339722,164.0006103515625,170.60061645507812,157.1902618408203
12,0.03519296646118164,-0.7705419063568115,2.7763254642486572,0.3131267726421356,1.5770318508148193,164.25086975097656,171.02027893066406,157.145751953125
13,0.034850120544433594,-0.7862184643745422,2.7943484783172607,0.3049560487270355,1.5614173412322998,164.49412536621094,171.46353149414062,157.12327575683594
14,0.03489208221435547,-0.8009408712387085,2.8124539852142334,0.29602813720703125,1.5444769859313965,164.7371826171875,171.88108825683594,157.1343231201172
15,0.03477120399475098,-0.8136290907859802,2.829782724380493,0.2871994972229004,1.5315732955932617,164.96817016601562,172.28302001953125,157.15235900878906
16,0.03464818000793457,-0.8250114321708679,2.847628355026245,0.2778647840023041,1.5196497440338135,165.19570922851562,172.6593017578125,157.18649291992188
17,0.03423595428466797,-0.8341549634933472,2.863051652908325,0.26994210481643677,1.5128512382507324,165.41641235351562,173.00839233398438,157.24119567871094
18,0.03453826904296875,-0.8429325222969055,2.879913330078125,0.2622438073158264,1.508783221244812,165.6371612548828,173.35462951660156,157.27613830566406
19,0.034535884857177734,-0.8508767485618591,2.894895553588867,0.25342991948127747,1.5047268867492676,165.85459899902344,173.67494201660156,157.32608032226562
20,0.03446769714355469,-0.8584808111190796,2.9098222255706787,0.2450312077999115,1.5025144815444946,166.07347106933594,174.00355529785156,157.36273193359375
21,0.03425765037536621,-0.865619421005249,2.923757314682007,0.23580829799175262,1.5007516145706177,166.29542541503906,174.284912109375,157.40626525878906
22,0.0338740348815918,-0.8729982376098633,2.9383134841918945,0.22650273144245148,1.4989385604858398,166.51316833496094,174.58241271972656,157.4562225341797
23,0.034020185470581055,-0.8793757557868958,2.951707124710083,0.217508003115654,1.4990850687026978,166.73231506347656,174.8594512939453,157.49888610839844
24,0.03448796272277832,-0.8859097361564636,2.9656918048858643,0.2083606719970703,1.499229907989502,166.9442596435547,175.0976104736328,157.57810974121094
25,0.03395438194274902,-0.8922830820083618,2.9794414043426514,0.19935286045074463,1.5012578964233398,167.16128540039062,175.3179931640625,157.66151428222656
26,0.03449106216430664,-0.8983994722366333,2.9919321537017822,0.1899048388004303,1.503800868988037,167.37359619140625,175.535888671875,157.73043823242188
27,0.03383302688598633,-0.9041996002197266,3.0040535926818848,0.17983286082744598,1.5055294036865234,167.59144592285156,175.76040649414062,157.79478454589844
28,0.03434348106384277,-0.9096539616584778,3.0159218311309814,0.17096248269081116,1.5077948570251465,167.80718994140625,175.944580078125,157.87010192871094
29,0.03377723693847656,-0.9151212573051453,3.027777671813965,0.16180065274238586,1.5117675065994263,168.029296875,176.12811279296875,157.9650421142578
30,0.03367352485656738,-0.9201570153236389,3.0390877723693848,0.15397940576076508,1.515555500984192,168.24960327148438,176.3020782470703,158.051513671875
31,0.03358650207519531,-0.9251276850700378,3.0499560832977295,0.14558528363704681,1.5192376375198364,168.4734344482422,176.46124267578125,158.1412353515625
32,0.0338594913482666,-0.9300939440727234,3.061716318130493,0.13767081499099731,1.5234495401382446,168.7039031982422,176.6139373779297,158.22598266601562
33,0.034058332443237305,-0.9345651268959045,3.0713393688201904,0.12931951880455017,1.528881549835205,168.9381866455078,176.7519989013672,158.32041931152344
34,0.03325247764587402,-0.9389764666557312,3.082181215286255,0.12148049473762512,1.5311741828918457,169.1735382080078,176.9181365966797,158.41482543945312
35,0.03325963020324707,-0.9430199861526489,3.0915069580078125,0.113687664270401,1.5328086614608765,169.40823364257812,177.0837860107422,158.52426147460938
36,0.033362388610839844,-0.946878969669342,3.1005938053131104,0.1059354692697525,1.5356237888336182,169.6507110595703,177.21466064453125,158.63656616210938
37,0.033438920974731445,-0.9502447247505188,3.108325958251953,0.09909916669130325,1.5386158227920532,169.89846801757812,177.349853515625,158.73867797851562
38,0.033536672592163086,-0.9533882737159729,3.1163885593414307,0.09294302761554718,1.542027235031128,170.150146484375,177.47671508789062,158.8546600341797
39,0.03322935104370117,-0.9562366008758545,3.122861862182617,0.0870787724852562,1.5454044342041016,170.4056396484375,177.58265686035156,158.97283935546875
40,0.033338308334350586,-0.958948016166687,3.129560947418213,0.08133205026388168,1.5486735105514526,170.6734161376953,177.70559692382812,159.085205078125
41,0.033498525619506836,-0.9609116911888123,3.1345317363739014,0.07754817605018616,1.5495866537094116,170.93077087402344,177.8037567138672,159.1981964111328
42,0.0333859920501709,-0.9628286957740784,3.138817071914673,0.07377329468727112,1.5510671138763428,171.19281005859375,177.89869689941406,159.31546020507812
43,0.03347516059875488,-0.9647775292396545,3.1423091888427734,0.06971216201782227,1.5540226697921753,171.45797729492188,177.9814910888672,159.43777465820312
44,0.03363227844238281,-0.9664342403411865,3.1453747749328613,0.06592897325754166,1.557106375694275,171.7204132080078,178.0524139404297,159.55499267578125
45,0.03313946723937988,-0.9679574966430664,3.1479976177215576,0.06231885030865669,1.5575004816055298,171.97921752929688,178.1215362548828,159.66827392578125
46,0.03331327438354492,-0.969631016254425,3.1506364345550537,0.05854804441332817,1.5593335628509521,172.24842834472656,178.19540405273438,159.7967071533203
47,0.03361392021179199,-0.9711830615997314,3.152989149093628,0.05512261390686035,1.5602868795394897,172.5235137939453,178.27349853515625,159.9173583984375
48,0.033002614974975586,-0.9725066423416138,3.1540422439575195,0.05257481336593628,1.5605486631393433,172.79290771484375,178.3385009765625,160.0359649658203
49,0.03356480598449707,-0.9737762212753296,3.1554148197174072,0.050577402114868164,1.5614986419677734,173.05702209472656,178.38421630859375,160.1498565673828
50,0.03365302085876465,-0.9750595688819885,3.1566548347473145,0.04809142276644707,1.5621994733810425,173.31886291503906,178.42774963378906,160.2789764404297
51,0.03379249572753906,-0.9763311147689819,3.1582343578338623,0.04578009247779846,1.5623691082000732,173.58010864257812,178.46766662597656,160.40260314941406
52,0.03356146812438965,-0.977599561214447,3.158698797225952,0.04378721863031387,1.5635602474212646,173.84060668945312,178.52200317382812,160.5233154296875
53,0.03326153755187988,-0.9788498878479004,3.158679723739624,0.041661057621240616,1.5649936199188232,174.0989227294922,178.57737731933594,160.65447998046875
54,0.03368377685546875,-0.9799817204475403,3.1585874557495117,0.039831072092056274,1.5660057067871094,174.3525390625,178.62045288085938,160.77471923828125
55,0.033583879470825195,-0.9810343384742737,3.158536911010742,0.038146186619997025,1.5656343698501587,174.5986328125,178.66082763671875,160.8917236328125
