# 2.383030894471046,0.6328296515402598,2.0003367519770947,178.32456622168843,174.2728824513672,177.40732597303273
itr,loss,delt,detp,delg,delx,dely,delz
0,-0.5323113203048706,-0.7585617591187471,0.6328296515402598,0.42954042518219837,-1.6754337783115716,-5.727117548632805,11.157325973032727
1,-0.5409474968910217,0.7597703059488019,-0.6421668529510498,-0.4158826311442514,1.1796112060546875,5.6172027587890625,-11.227767944335938
2,-0.555225670337677,0.7705346663766584,-0.6592596173286438,-0.40519086917373137,0.659759521484375,5.5587005615234375,-11.240493774414062
3,-0.568412184715271,0.7814835627847394,-0.6853185296058655,-0.3946772058818002,0.0899200439453125,5.493438720703125,-11.182266235351562
4,-0.5760684013366699,0.7891804297738751,-0.694705605506897,-0.38849370082351165,-0.4394683837890625,5.4761810302734375,-11.32269287109375
5,-0.5890447497367859,0.7987817843728742,-0.7099505662918091,-0.3766370256755014,-0.9903106689453125,5.40850830078125,-11.445327758789062
6,-0.5879637002944946,0.8132602294259748,-0.7134551405906677,-0.3770330389353891,-1.289642333984375,5.288482666015625,-11.53802490234375
7,-0.5910796523094177,0.8105765898996076,-0.700595498085022,-0.37676982482406096,-1.27227783203125,5.1402435302734375,-11.55517578125
8,-0.5922033190727234,0.8282624800973615,-0.7219429612159729,-0.3714002807948251,-1.7302398681640625,5.0794525146484375,-11.592910766601562
9,-0.5929955244064331,0.8318654616647443,-0.7208402752876282,-0.3720382889125009,-1.85467529296875,4.9465179443359375,-11.583908081054688
10,-0.5950406789779663,0.8325723727517804,-0.7028963565826416,-0.3715599020335336,-1.9020233154296875,4.72674560546875,-11.548095703125
11,-0.6014627814292908,0.8524173816018781,-0.6981635093688965,-0.367167397341456,-2.0674896240234375,4.4275665283203125,-11.48052978515625
12,-0.6068946719169617,0.8642987330728253,-0.6917509436607361,-0.3625238378855844,-2.2541351318359375,4.13470458984375,-11.402084350585938
13,-0.5973173379898071,0.8361541350656232,-0.6496595144271851,-0.36324398120376067,-1.7976531982421875,3.7968292236328125,-11.20599365234375
14,-0.6082183718681335,0.8511356433206281,-0.6596813201904297,-0.3523248871180673,-2.3304443359375,3.690948486328125,-11.140396118164062
15,-0.6206398010253906,0.8704196532540998,-0.6586822271347046,-0.33880714972945647,-2.795318603515625,3.58563232421875,-10.974700927734375
16,-0.6209872961044312,0.9046155532174787,-0.6748337149620056,-0.3328828056666513,-3.40350341796875,3.40020751953125,-10.692581176757812
17,-0.6334932446479797,0.9004794677072248,-0.6564372777938843,-0.32445518573256926,-3.343170166015625,2.99560546875,-10.4837646484375
18,-0.6391380429267883,0.8961125930124005,-0.6347874999046326,-0.3104119737956186,-3.29974365234375,2.575042724609375,-10.42645263671875
19,-0.6436740756034851,0.9244731982522687,-0.6448528170585632,-0.3016710718485971,-3.8622589111328125,2.5145416259765625,-10.277999877929688
20,-0.6460388898849487,0.905259521799632,-0.607413113117218,-0.294601364931788,-3.64739990234375,2.0843505859375,-9.97296142578125
21,-0.6697204113006592,0.9372402747445783,-0.6125474572181702,-0.2872980078074594,-4.323883056640625,1.9228515625,-9.79254150390625
22,-0.6827076077461243,0.9538394530587873,-0.5969030261039734,-0.27865581115218596,-4.5913848876953125,1.691131591796875,-9.60748291015625
23,-0.6927925944328308,0.966837080317088,-0.5862898826599121,-0.2706901272151132,-4.8847503662109375,1.478179931640625,-9.427261352539062
24,-0.7060015201568604,0.9818786700540265,-0.5644742846488953,-0.26244787772628264,-4.9996795654296875,1.2454833984375,-9.275848388671875
25,-0.7076420783996582,1.0058402140908917,-0.5696069598197937,-0.2547796209666391,-5.480010986328125,1.253021240234375,-9.053115844726562
26,-0.7168668508529663,1.0055016597085675,-0.5465965270996094,-0.24359719356032805,-5.6223907470703125,1.0138092041015625,-8.853607177734375
27,-0.7195867300033569,1.0045034011178693,-0.5427034497261047,-0.23521070083114104,-5.7903289794921875,1.006011962890625,-8.639450073242188
28,-0.7226414084434509,1.0048262198739728,-0.545789897441864,-0.22603075107070403,-6.0352630615234375,1.0998382568359375,-8.375534057617188
29,-0.7247525453567505,0.9947499354654035,-0.5380297303199768,-0.2132105072352548,-6.1656036376953125,1.0991973876953125,-8.143234252929688
30,-0.7288030982017517,1.0103277285867414,-0.5493915677070618,-0.20072977145644622,-6.5312652587890625,1.1525726318359375,-7.910797119140625
31,-0.732679545879364,1.0088471492105207,-0.5440298914909363,-0.1901816566798349,-6.7061004638671875,1.0909423828125,-7.6767730712890625
32,-0.7369062900543213,1.0058821757608136,-0.5356113314628601,-0.17993478377791838,-6.84063720703125,1.0850830078125,-7.411163330078125
33,-0.7392591834068298,1.0024761279397687,-0.5286006927490234,-0.16993228991958098,-6.95660400390625,1.073333740234375,-7.16180419921875
34,-0.7437185645103455,1.0214666446023664,-0.523940920829773,-0.163695021471705,-7.2369384765625,1.084136962890625,-6.98382568359375
35,-0.7498704791069031,1.021036060648509,-0.5111891627311707,-0.15274362166854338,-7.3614349365234375,1.0841827392578125,-6.8050537109375
36,-0.7538979053497314,1.0151595195108136,-0.50608229637146,-0.13640276988479094,-7.5322418212890625,1.12646484375,-6.6148223876953125
37,-0.7579948306083679,1.0287751277261457,-0.5030544996261597,-0.12677542766066985,-7.745269775390625,1.21710205078125,-6.4117889404296875
38,-0.7625196576118469,1.0240449031167707,-0.49318110942840576,-0.11701325973006682,-7.806396484375,1.2292022705078125,-6.2338714599609375
39,-0.7660195827484131,1.0280677398019513,-0.4938250780105591,-0.10531537135573821,-7.977996826171875,1.3213653564453125,-6.0152130126953125
40,-0.7706345319747925,1.0444544871621808,-0.4844019114971161,-0.09438280662032561,-8.21539306640625,1.3198394775390625,-5.8075103759765625
41,-0.7755779027938843,1.0451385100656232,-0.4779795706272125,-0.08179740508529143,-8.375411987304688,1.361480712890625,-5.5850372314453125
42,-0.7819581627845764,1.0433477481179914,-0.4633503556251526,-0.07215277751418547,-8.46453857421875,1.404571533203125,-5.3911590576171875
43,-0.7871970534324646,1.044387014704295,-0.45291590690612793,-0.06255511840316252,-8.511520385742188,1.481048583984375,-5.18316650390625
44,-0.7932375073432922,1.0412978251748761,-0.4400481581687927,-0.05018226703139739,-8.548995971679688,1.4898529052734375,-5.045196533203125
45,-0.7993823289871216,1.0454107840829572,-0.42900705337524414,-0.03836481173964934,-8.687332153320312,1.5020294189453125,-4.90411376953125
46,-0.8062957525253296,1.0538713057809552,-0.41716158390045166,-0.028729363283838794,-8.848831176757812,1.5176544189453125,-4.7890625
47,-0.8142229318618774,1.0619656165414533,-0.4008465111255646,-0.020697041353907153,-8.90533447265625,1.4949493408203125,-4.671783447265625
48,-0.8217348456382751,1.0597874244027814,-0.3846217393875122,-0.007300778231348559,-9.018798828125,1.492279052734375,-4.5820465087890625
49,-0.8311569094657898,1.0678869803720197,-0.3650786578655243,0.0014868537571768314,-9.19305419921875,1.49542236328125,-4.561004638671875
50,-0.8400372862815857,1.0789510329538068,-0.34723448753356934,0.006474570431981519,-9.31787109375,1.4571685791015625,-4.5059661865234375
51,-0.847653865814209,1.0883277972512921,-0.3317471146583557,0.014349178471837476,-9.448028564453125,1.4408721923828125,-4.4833831787109375
52,-0.8550962805747986,1.0941897948556623,-0.31312769651412964,0.019679979481969312,-9.431259155273438,1.3883056640625,-4.4496307373046875
53,-0.8600280284881592,1.1009444316201886,-0.29773953557014465,0.02112455765274568,-9.4375,1.3410186767578125,-4.4327850341796875
54,-0.8639749884605408,1.1000351031594953,-0.2833033502101898,0.026884035268102124,-9.425613403320312,1.3126068115234375,-4.445068359375
55,-0.86686110496521,1.1079272349649152,-0.2717682719230652,0.028433994450841382,-9.51544189453125,1.306365966796875,-4.46368408203125
56,-0.8685259819030762,1.1039225180917462,-0.2602217197418213,0.03083379665878816,-9.49810791015625,1.2952423095703125,-4.4557037353515625
57,-0.8700683116912842,1.1084963401132306,-0.25264468789100647,0.031136826672826245,-9.618057250976562,1.30279541015625,-4.5012969970703125
58,-0.871130645275116,1.1093057711892804,-0.2454959899187088,0.030678586163793042,-9.657394409179688,1.31182861328125,-4.5268707275390625
59,-0.8719655275344849,1.1064614375405988,-0.23768678307533264,0.03110380569962068,-9.695343017578125,1.3228607177734375,-4.5405120849609375
60,-0.8725311160087585,1.108966739969798,-0.23368917405605316,0.03164668480423494,-9.79571533203125,1.347015380859375,-4.5493011474609375
61,-0.8727132678031921,1.10925808747346,-0.2311309576034546,0.03316994110611482,-9.868789672851562,1.3731689453125,-4.5478363037109375
62,-0.8729923367500305,1.1110664923959455,-0.22762036323547363,0.032022432484899,-9.90960693359375,1.4095458984375,-4.5749359130859375
63,-0.8730819821357727,1.1113640387826642,-0.22530657052993774,0.03262014786270662,-9.978317260742188,1.4375457763671875,-4.5811309814453125
64,-0.8733237981796265,1.1112772544198712,-0.2222428023815155,0.030598358311925367,-10.003341674804688,1.470977783203125,-4.610321044921875
65,-0.8736795783042908,1.1089862902932843,-0.21864460408687592,0.03002841869858308,-10.042312622070312,1.4954071044921875,-4.647613525390625
66,-0.8736944794654846,1.1104861815744123,-0.21971304714679718,0.031278685727391675,-10.11688232421875,1.5296783447265625,-4.694183349609375
67,-0.8740687370300293,1.10982337792451,-0.21458442509174347,0.027555421986852124,-10.150131225585938,1.5575408935546875,-4.7382354736328125
68,-0.8742178678512573,1.1057445128732404,-0.21074655652046204,0.028806404271398023,-10.203399658203125,1.5829620361328125,-4.7955322265625
69,-0.8744859099388123,1.1096185763650617,-0.20897558331489563,0.027631358304295972,-10.291580200195312,1.6003875732421875,-4.83197021484375
70,-0.8746589422225952,1.1076582988076886,-0.2063290774822235,0.03155966202286287,-10.352127075195312,1.619598388671875,-4.8725128173828125
71,-0.8748182654380798,1.1091887076669416,-0.20456504821777344,0.030275658765111402,-10.4072265625,1.629730224609375,-4.9258575439453125
72,-0.8750888705253601,1.1091446002298078,-0.20033663511276245,0.029553965726170972,-10.457687377929688,1.642181396484375,-4.994354248046875
